Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,829.5,834.5,810,825,784.472412,2680448
2016/2/10,834,835,794.710022,798.5,759.27417,3380752
2016/2/11,785,790,749,769,731.223389,6212269
2016/2/12,776.5,807.5,772.5,805,765.454956,3386428
2016/2/15,821.5,827.5,814.5,821.5,781.144348,1961249
2016/2/16,832.5,840.5,814,836,794.932007,2598951
2016/2/17,840,862.5,838.5,862.5,820.130249,2286170
2016/2/18,867,874.5,851,855.5,813.473999,2007934
2016/2/19,855,859,833,846.5,804.91626,1618825
2016/2/22,852.5,881,852.5,879,835.819702,1323653
2016/2/23,879.5,890.5,852.5,876,832.967102,2210902
2016/2/24,875.5,880,852.5,865,822.507385,1578220
2016/2/25,874,898.5,874,891.5,847.705566,2440407
2016/2/26,900,914.5,897.5,903,858.640686,1839115
2016/2/29,901.5,931.5,895.320007,924,878.60907,6120002
2016/3/1,880,886,753.5,842.5,801.112732,12918642
2016/3/2,848,850.5,839,850.5,808.719788,5274051
2016/3/3,848.5,869.5,829.5,864.5,822.031982,3567632
2016/3/4,866.5,910.5,865,902.5,858.165222,5657647
2016/3/7,900,911.5,886,896,851.984558,1990678
2016/3/8,890,893,857.5,861.5,819.179321,2792788
2016/3/9,826.5,852.5,800,852.5,810.62146,5477402
2016/3/10,838,838,785,785,746.437378,7114496
2016/3/11,793,800.5,785,785,746.437378,2792142
2016/3/14,785,823.703979,774.5,815,774.963623,2865744
2016/3/15,818,834.5,811,816,775.914551,2626964
2016/3/16,820.5,844,820.5,835,793.98114,4593466
2016/3/17,838,855,817.5,855,812.998596,2956499
2016/3/18,856.5,884,856.5,876.5,833.442505,3145089
2016/3/21,870,886,869,872.5,829.638916,2209958
2016/3/22,867.5,878.5,855.5,878.5,835.344299,1689789
2016/3/23,875.5,883,856.5,860.5,818.228455,1953992
2016/3/24,853,859.099976,824.5,825,784.472412,2911831
2016/3/29,827.5,851.5,826,850.5,808.719788,2135471
2016/3/30,855.5,875.5,855.5,870,827.26178,2419751
2016/3/31,863.5,870,854.5,864,821.55658,1832214
2016/4/1,859,874.5,843.815002,857.5,815.375854,2390638
2016/4/4,856.5,863.5,840,845,803.489868,2222955
2016/4/5,840.5,843.5,824.184998,825.5,784.947754,3358250
2016/4/6,832.5,835,819.5,834.5,793.505737,1751563
2016/4/7,835,848,828.5,832,791.12854,1810291
2016/4/8,831.5,844.5,830,840,798.735535,1378200
2016/4/11,837,847.5,830,842,800.637268,1108429
2016/4/12,836,842.5,800.143982,817,776.865417,3134382
2016/4/13,822.5,849,821.5,849,807.293396,2134887
2016/4/14,850,860.5,844.5,848.5,806.817993,2186189
2016/4/15,848.5,848.5,814.5,814.5,774.48822,2125495
2016/4/18,809,822.400024,797,817,776.865417,1279682
2016/4/19,816,846.5,812.5,846.5,804.91626,2793213
2016/4/20,846,865.080994,844,859.5,817.277588,2041282
2016/4/21,867,895,824,891,847.230164,5261692
2016/4/22,887.5,913.5,887.5,890,846.279297,4023457
2016/4/25,920,925,908.25,914,869.100281,2747318
2016/4/26,912.5,925,906.5,918,872.903809,3173367
2016/4/27,916,926.684998,908.5,925,879.559937,2688313
2016/4/28,919,927.5,910.5,924.5,879.084473,1622619
2016/4/29,914.5,916.5,901.5,907.5,862.919617,2421340
2016/5/3,911.5,916.5,884.5,893.5,849.607422,2130469
2016/5/4,892.5,897.900024,877.5,892,848.181091,1603705
2016/5/5,895.5,899.5,881,886.5,842.951233,1517279
2016/5/6,883.5,883.5,866.5,877,833.917969,2007329
2016/5/9,884,893,872,873,830.11438,1178354
2016/5/10,877,889.5,875.5,888,844.377625,1368469
2016/5/11,885,899,885,897.5,853.410828,1204871
2016/5/12,894,904.5,883,884.5,841.0495,1905142
2016/5/13,881.5,883.5,863.5,876.5,833.442505,2039658
2016/5/16,872,876.5,859,876.5,833.442505,1466204
2016/5/17,888,930,886,927.5,881.937073,3247214
2016/5/18,923,966.075012,921.5,961.5,914.266907,3396665
2016/5/19,956,967,945.359985,945.5,899.052856,2308395
2016/5/20,949.5,974.5,948.5,965.5,918.070435,2221524
2016/5/23,967,979,960,973.5,925.677368,1673004
2016/5/24,969,971.5,957.5,964,916.644104,1883313
2016/5/25,966.5,981.5,959.5,975.5,927.579163,1360551
2016/5/26,972.5,987.700012,971,982,933.759827,2028526
2016/5/27,978,987.5,975.5,986,937.563354,1376427
2016/5/31,983,986.5,973,976,928.054626,2012533
2016/6/1,976,976,949.5,961,913.791504,1697830
2016/6/2,959,988.5,959,979.5,931.38269,1454403
2016/6/3,980.5,991,965,977.5,929.480957,1294399
2016/6/6,980.5,991,975.5,985.5,937.087952,959731
2016/6/7,986,1001,985.5,988.5,939.940552,1091661
2016/6/8,988.5,990,976.5,986,937.563354,1879224
2016/6/9,983,985,975.5,980.5,932.333496,1564134
2016/6/10,977.5,977.5,958.5,959.5,912.365173,1238877
2016/6/13,955.5,964,939.5,957,909.987976,2649893
2016/6/14,986,1008,942.5,985.5,937.087952,6052988
2016/6/15,990,1001.049988,968.400024,998,948.973877,2355009
2016/6/16,987,995,949.5,960,912.840637,2603850
2016/6/17,967,1001,961,994,945.17041,3452813
2016/6/20,1017,1034,1013,1023,972.745789,1927772
2016/6/21,1022,1043,1020,1037,986.058044,2135193
2016/6/22,1046,1050,1025,1035,984.15625,2425286
2016/6/23,1034,1058,1029,1045,993.6651,1894785
2016/6/24,888,1059,875.799988,1033,982.254517,5596843
2016/6/27,1014,1022,939.5,975,927.103699,3789346
2016/6/28,1007,1025,1000,1008,958.482666,3622456
2016/6/29,1024,1050,1017,1050,998.419434,2184358
2016/6/30,1051,1064.319946,1042,1064,1011.73175,3087406
2016/7/1,1069,1088,1053,1079,1025.994751,2576096
2016/7/4,1084,1091.810059,1066,1068,1015.535217,1529424
2016/7/5,1067,1078,1038,1054,1002.2229,1889572
2016/7/6,1049,1052,1018,1035,984.15625,2376234
2016/7/7,1044,1069,1044,1058,1006.026306,1785435
2016/7/8,1058,1095.5,1055,1086,1032.650879,2084893
2016/7/11,1089,1121.900024,1089,1121,1065.931641,2370615
2016/7/12,1118,1137,1112,1126,1070.686035,1339035
2016/7/13,1121,1132,970.299988,1115,1060.226318,1339797
2016/7/14,1120,1127,1092,1110,1055.471802,2128311
2016/7/15,1112,1130,1103,1130,1074.489502,1982267
2016/7/18,1130,1138,1112,1119,1064.029907,1688361
2016/7/19,1115,1121,1095,1120,1064.980713,1890650
2016/7/20,1126,1128.02002,1105.290039,1128,1072.587646,1362791
2016/7/21,1175,1200.800049,1163,1185,1126.787598,4188695
2016/7/22,1181,1188,1164,1170,1112.524414,1774954
2016/7/25,1170,1195,1170,1192,1133.443726,1546699
2016/7/26,1197,1202.079956,1183,1185,1126.787598,1196846
2016/7/27,1185,1211,1185,1209,1149.608643,1561339
2016/7/28,1210,1217,1189.640015,1190,1131.54187,2367536
2016/7/29,1196,1204,1183,1196,1137.247314,1748973
2016/8/1,1199,1201,1178,1178,1120.131592,1269367
2016/8/2,1180,1180,1154.72998,1168,1110.622681,1906170
2016/8/3,1169,1170,1147.420044,1152,1095.408691,2728270
2016/8/4,1150,1178.349976,1141,1176,1118.229858,1907615
2016/8/5,1173,1200,1172,1197,1138.19812,1184937
2016/8/8,1194,1378.900024,1179,1201,1142.001465,2536688
2016/8/9,1203,1209,1189.72998,1204,1144.85437,1571948
2016/8/10,1207,1217,1196,1217,1157.215576,2109875
2016/8/11,1198,1222,1187.060059,1222,1179.90625,1865343
2016/8/12,1218,1229,1218,1226,1183.768433,1279466
2016/8/15,1232,1253,1220,1245,1202.113892,1484949
2016/8/16,1239,1257,1232,1232,1189.561646,2161102
2016/8/17,1239,1240.099976,1226,1228,1185.699463,1891180
2016/8/18,1236,1245,1224,1229,1186.665161,2011178
2016/8/19,1235,1235,1204,1206,1164.457275,1907457
2016/8/22,1209,1220,1204,1215,1173.147095,1506375
