Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,1116,1121,1084,1094,1029.579468,3081794
2016/2/10,1098,1112,1084,1107,1041.813843,2109085
2016/2/11,1098,1098,1064,1073,1009.815979,2180476
2016/2/12,1081,1102,1077.359985,1102,1037.108276,2077142
2016/2/15,1118,1130,1113,1119,1053.107422,1308460
2016/2/16,1124,1129,1111,1126,1059.69519,1522834
2016/2/17,1129,1162,1129,1162,1093.575195,1448340
2016/2/18,1165,1172,1155,1160,1091.692993,1319331
2016/2/19,1160,1174.209961,1153,1162,1093.575195,1577334
2016/2/22,1168,1196,1166,1184,1114.279663,1300438
2016/2/23,1173,1186,1164,1164,1095.457397,1575661
2016/2/24,1160,1166,1143.949951,1150,1082.281982,1798276
2016/2/25,1164,1173,1156,1168,1099.221802,1986271
2016/2/26,1176,1189,1169,1172,1102.986328,1700338
2016/2/29,1166,1184,1164,1183,1113.338745,2170396
2016/3/1,1181,1204,1176.660034,1204,1133.101929,1863260
2016/3/2,1214,1216,1181,1194,1123.690918,1734375
2016/3/3,1190,1201,1185,1190,1119.926514,1315279
2016/3/4,1193,1205,1192,1203,1132.160767,1453908
2016/3/7,1202,1228,1198,1202,1131.219849,1885601
2016/3/8,1195,1207,1189,1193,1122.749878,1903565
2016/3/9,1193,1216,1185,1201,1130.278809,1640625
2016/3/10,1202,1217,1184,1184,1114.279663,1837126
2016/3/11,1207,1208,1196,1206,1134.984375,1109644
2016/3/14,1206,1218,1203.540039,1215,1143.454346,1194726
2016/3/15,1210,1216,1205,1211,1139.689697,1123258
2016/3/16,1214,1215,1202,1208,1136.866577,1368277
2016/3/17,1213,1217,1193,1208,1136.866577,2141693
2016/3/18,1213,1220,1204,1206,1134.984375,2708612
2016/3/21,1201,1209,1196.949951,1202,1131.219849,1334217
2016/3/22,1194,1206,1187,1205,1134.043091,1467212
2016/3/23,1206,1230,1206,1220,1148.159912,2325230
2016/3/24,1211,1223,1208,1213,1141.572021,1868677
2016/3/29,1211,1229.5,1211,1229,1156.629883,1607676
2016/3/30,1240,1248,1236,1246,1172.628906,3862693
2016/3/31,1244,1247,1239,1245,1171.687744,1685455
2016/4/1,1236,1254.25,1233,1251,1177.334351,1933395
2016/4/4,1253,1269,1245,1265,1190.510132,1313465
2016/4/5,1258,1259,1244,1250,1176.393433,1262830
2016/4/6,1255,1267.180054,1246,1266,1191.45105,1417619
2016/4/7,1269,1271,1251,1255,1181.098877,1702651
2016/4/8,1251,1254.699951,1229.949951,1239,1166.041016,2777135
2016/4/11,1235,1242,1228,1233,1160.394409,1659163
2016/4/12,1234,1234,1220,1232,1159.453247,1418868
2016/4/13,1240,1244.47998,1236,1239,1166.041016,1830908
2016/4/14,1240,1253,1239,1251,1177.334351,1424647
2016/4/15,1252,1257,1246,1253,1179.216797,1705536
2016/4/18,1242,1261,1241,1259,1184.863281,1235335
2016/4/19,1271,1293,1261,1290,1214.037964,2296496
2016/4/20,1286,1294,1279,1288,1212.155762,2033313
2016/4/21,1287,1287.98999,1272,1277,1201.803467,1340661
2016/4/22,1273,1277,1256,1256,1182.039917,1830218
2016/4/25,1259,1268,1252,1259,1184.863281,1297283
2016/4/26,1262,1268,1257.530029,1260,1185.804443,1393744
2016/4/27,1251,1267,1250,1266,1191.45105,1515769
2016/4/28,1266,1271,1248,1271,1196.156616,1569605
2016/4/29,1263,1266,1250,1251,1177.334351,1500539
2016/5/3,1252,1268,1249,1265,1190.510132,2376919
2016/5/4,1262,1275.5,1255,1266,1191.45105,1704094
2016/5/5,1267,1272,1259,1267,1192.392212,1447231
2016/5/6,1264,1267,1239,1251,1177.334351,2004303
2016/5/9,1259,1266,1256,1258,1183.922363,1404774
2016/5/10,1266,1273,1256,1270,1195.215576,1815964
2016/5/11,1268,1294,1241,1265,1190.510132,2756457
2016/5/12,1262,1282,1255,1258,1183.922363,2647741
2016/5/13,1255,1259,1245,1253,1179.216797,2815154
2016/5/16,1249,1261,1243,1258,1183.922363,850430
2016/5/17,1264,1270,1257,1267,1192.392212,1650205
2016/5/18,1264,1275,1259,1275,1199.921143,2506128
2016/5/19,1271,1279,1257,1257,1182.981201,1826085
2016/5/20,1262,1275,1262,1265,1190.510132,1745694
