Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,1468,1513,1464,1502,1333.990601,2879711
2016/2/10,1515,1537,1491,1514,1344.648438,1333941
2016/2/11,1500,1512.5,1458,1462,1298.464966,1475126
2016/2/12,1472,1492,1462,1486,1319.780396,1752831
2016/2/15,1506,1524,1502,1508,1339.319458,1112906
2016/2/16,1512,1538,1507,1538,1365.963745,1272909
2016/2/17,1540,1564,1528,1555,1381.062256,1559723
2016/2/18,1567,1582,1551,1562,1387.279175,2222799
2016/2/19,1564,1568,1532,1553,1379.286011,1490072
2016/2/22,1566,1582,1539,1545,1372.180786,777098
2016/2/23,1534,1542,1516,1522,1351.75354,1958733
2016/2/24,1519,1527.839966,1499,1514,1344.648438,1204055
2016/2/25,1477,1500,1467,1495,1378.015747,2433473
2016/2/26,1506,1511,1473,1494,1377.093872,2035227
2016/2/29,1477,1512,1476,1506,1388.154907,1497810
2016/3/1,1510,1549,1503,1543,1422.259644,1786277
2016/3/2,1552,1557.699951,1506,1510,1391.841919,1318674
2016/3/3,1514,1519.630005,1478,1485,1368.798096,1417645
2016/3/4,1492,1557,1485,1552,1430.55542,2011150
2016/3/7,1546,1546,1524,1533,1413.042236,1004614
2016/3/8,1524,1543,1507,1536,1415.807373,1229297
2016/3/9,1545,1557,1527,1533,1413.042236,1382359
2016/3/10,1529,1536,1494,1494,1377.093872,3209488
2016/3/11,1509,1522,1493,1521,1401.981201,1320647
2016/3/14,1525,1553.280029,1521.390015,1544,1423.181396,1439229
2016/3/15,1549,1552,1497,1507,1389.07666,1587307
2016/3/16,1514,1527,1510,1516,1397.372437,899086
2016/3/17,1520,1521,1477,1485,1368.798096,1786787
2016/3/18,1481,1522,1469,1514,1395.528931,1981295
2016/3/21,1508,1514,1494,1501,1383.546265,786881
2016/3/22,1440,1504,1415,1504,1386.311401,2758596
2016/3/23,1506,1528,1506,1515,1396.450684,1099455
2016/3/24,1510,1514,1491,1501,1383.546265,865266
2016/3/29,1540,1578,1508,1525,1405.668213,1971830
2016/3/30,1533,1541,1507,1520,1401.059448,1465896
2016/3/31,1520,1531,1515,1519,1400.137695,2288194
2016/4/1,1512,1528,1505,1528,1408.43335,1275647
2016/4/4,1530,1547,1520.310059,1528,1408.43335,860953
2016/4/5,1545,1548.050049,1508,1522,1402.902954,1596464
2016/4/6,1515,1520,1470.699951,1476,1360.502441,2829762
2016/4/7,1481,1482.25,1449,1451,1337.458618,2331467
2016/4/8,1459,1464,1440,1454,1340.223999,1687554
2016/4/11,1454,1465,1442,1456,1342.067505,1128065
2016/4/12,1454,1460,1438.420044,1455,1341.14563,960026
2016/4/13,1467,1484,1452,1472,1356.81543,1174354
2016/4/14,1478,1490,1471,1477,1361.424072,961581
2016/4/15,1478,1492.27002,1444.140015,1447,1333.771606,2135932
2016/4/18,1443,1485,1439.949951,1457,1342.989136,1227280
2016/4/19,1460,1477,1454,1467,1352.206665,1091763
2016/4/20,1467,1482.400024,1463,1473,1357.737183,931164
2016/4/21,1474,1476,1436,1447,1333.771606,1216760
2016/4/22,1442,1449.170044,1429,1447,1333.771606,1380800
2016/4/25,1449,1452.359985,1439.719971,1445,1331.928223,925340
2016/4/26,1446,1465,1437,1461,1346.676147,1231350
2016/4/27,1460,1519,1456.569946,1513,1394.607178,2231087
2016/4/28,1501,1515,1487,1515,1396.450684,1872883
2016/4/29,1498,1500,1472.560059,1473,1357.737183,1821902
2016/5/3,1478,1479,1433,1435,1322.710693,2350170
2016/5/4,1430,1451,1429,1440,1327.319458,1439451
2016/5/5,1449,1450,1431,1440,1327.319458,896770
2016/5/6,1435,1435,1413.650024,1416,1305.19751,1681639
2016/5/9,1445,1470.219971,1444,1470,1354.971924,2031047
2016/5/10,1490,1527,1448.150024,1510,1391.841919,3819365
2016/5/11,1502,1513,1480,1486,1369.719971,1501400
2016/5/12,1480,1495,1455,1457,1342.989136,2249795
2016/5/13,1452,1465,1429,1433,1320.867188,1557506
2016/5/16,1432,1444,1417,1441,1328.241211,1144388
2016/5/17,1446,1448,1427,1437,1324.554199,1664941
2016/5/18,1431,1492.23999,1430,1487,1370.641602,1706012
2016/5/19,1464,1480,1452,1461,1346.676147,1507131
2016/5/20,1475,1487,1456,1470,1354.971924,1767362
2016/5/23,1474,1500.359985,1464,1498,1380.780884,1346715
2016/5/24,1491,1520,1479.390015,1518,1399.215942,2038595
2016/5/25,1527,1566,1520,1556,1434.24231,3007388
2016/5/26,1560,1563.709961,1526.310059,1532,1412.120361,1240896
2016/5/27,1534,1552,1513,1552,1430.55542,1391261
2016/5/31,1555,1557,1524,1533,1413.042236,4619751
2016/6/1,1536,1541,1504,1508,1389.998413,1157645
2016/6/2,1519,1526,1512,1514,1395.528931,1239828
2016/6/3,1521,1532,1507,1524,1404.746338,1107376
2016/6/6,1535,1535,1496,1508,1389.998413,1121111
2016/6/7,1510,1532,1496,1521,1401.981201,1099398
2016/6/8,1516,1518,1484.670044,1490,1373.406982,1057519
2016/6/9,1490,1500,1480.660034,1488,1371.563477,1626393
2016/6/10,1477,1481.699951,1430,1435,1322.710693,1813495
2016/6/13,1421,1435,1413,1423,1311.649658,1448165
2016/6/14,1415,1426,1395,1395,1285.840698,1587955
2016/6/15,1406,1420.339966,1395,1406,1295.97998,1665566
2016/6/16,1394,1396.959961,1376,1395,1285.840698,1923917
2016/6/17,1404,1446,1399,1441,1328.241211,2761218
2016/6/20,1477,1526,1477,1522,1402.902954,1712029
2016/6/21,1528,1537,1511,1520,1401.059448,1620718
2016/6/22,1525,1536,1508,1517,1398.294189,1326687
2016/6/23,1531,1544,1509,1533,1413.042236,1619412
2016/6/24,1250,1332,1167,1313,1210.257324,7874592
2016/6/27,1200,1222,990,1020,940.184631,11093383
2016/6/28,1047,1089,1041,1069,985.350281,6719750
2016/6/29,1115,1115,1051,1087,1001.941772,4171858
2016/6/30,1085,1095,1051,1086,1001.020081,3364998
2016/7/1,1101,1120,1087,1092,1006.550598,3428876
2016/7/4,1100,1103,1078,1081,996.411377,2068737
2016/7/5,1082,1095,1054,1056,973.367554,2577652
2016/7/6,1050,1052,999.679993,1018,938.341125,3024424
2016/7/7,1023,1057,1016,1048,965.993591,2388089
2016/7/8,1051,1075.319946,1040,1070,986.272034,1695965
2016/7/11,1086,1106,1069,1095,1009.315796,3404371
2016/7/12,1090,1149,1090,1142,1052.638062,2470301
2016/7/13,1145,1154,1118.5,1120,1032.359619,2034688
