Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,476.75,480,452.230011,456,432.897369,2377044
2016/2/10,451.5,465.279999,451.5,461.75,438.356049,5225500
2016/2/11,458.25,461.25,443,444,421.505341,2872677
2016/2/12,448,455,440.25,446.75,424.115997,6869030
2016/2/15,457,458.75,453,457.25,434.084045,571908
2016/2/16,458,462,446.5,446.75,424.115997,1632267
2016/2/17,458.25,458.5,447.571014,453.75,430.761383,2035442
2016/2/18,460,464.25,451,462,438.593414,572775
2016/2/19,465,465,456.75,460.75,437.406708,1046254
2016/2/22,461.75,470.330994,461.5,468.5,444.764069,733005
2016/2/23,469,470,463.75,463.75,440.25473,343903
2016/2/24,465,469,463,465.75,442.153412,209827
2016/2/25,469.75,470.25,462,465,441.441406,318903
2016/2/26,466,493,463.5,488,463.276123,1122559
2016/2/29,486.5,489.940002,471.75,489,464.225464,681565
2016/3/1,490,511.5,475,499.25,473.956177,677953
2016/3/2,499,508.5,494.5,494.5,469.446838,744536
2016/3/3,497,497,485.5,485.75,461.140137,311870
2016/3/4,482.25,486.75,477.5,478,453.782806,1072731
2016/3/7,477.5,487.75,475,483.75,459.241455,1507331
2016/3/8,477,484.016998,475,478.25,454.020111,296829
2016/3/9,483.75,489,476.75,487,462.326813,330230
2016/3/10,483.25,499.75,483.25,483.25,458.766785,583695
2016/3/11,487.75,498.5,485.5,493,468.022797,1477959
2016/3/14,490.75,500.497009,485,490.75,465.88681,409252
2016/3/15,483.5,490.5,483.5,486.75,462.089478,1772397
2016/3/16,485.75,491.572998,485.25,486,461.377472,225771
2016/3/17,487,495.700989,484,491.75,466.836151,2874986
2016/3/18,488.75,505,484.5,505,479.414856,2347170
2016/3/21,502.5,508.019989,495,501.5,476.092163,544143
2016/3/22,500,509,500,505.5,479.889526,2462687
2016/3/23,502,506,494.5,499,473.718842,941418
2016/3/24,497,510,491.5,501,475.617523,2235716
2016/3/29,501.5,503.450012,491.25,495,469.921478,1120698
2016/3/30,502,510.225006,484.437988,504,478.465515,1459716
2016/3/31,504,509.5,502,505,479.414856,631179
2016/4/1,500,512.5,500,512,486.060211,307732
2016/4/4,515,518.5,510.399994,514,487.958893,476401
2016/4/5,511,520.5,511,515.5,489.382874,561963
2016/4/6,508.5,520.557007,508.5,517,490.806915,1835361
2016/4/7,518,521,513,514,487.958893,725462
2016/4/8,511,514.25,507.5,514,487.958893,573932
2016/4/11,515,515,504.5,514,487.958893,995555
2016/4/12,515.5,515.5,505,512,486.060211,163509
2016/4/13,513,517,510,515,488.908234,587832
2016/4/14,513.5,522.5,512.625,520.5,494.129578,1062936
2016/4/15,523,525,515,520,493.654877,1039264
2016/4/18,515,526.5,512.5,524.5,497.926941,567881
2016/4/19,523.5,536.552002,522.952026,532.5,505.521545,673078
2016/4/20,535,535.400024,506,515,488.908234,1719047
2016/4/21,516,523.5,513.375,518,491.756226,1032547
2016/4/22,514,527.5,514,523.5,496.97757,1872261
2016/4/25,537,549.5,532,547.5,519.761597,3626260
2016/4/26,547,560.5,546.5,548.5,520.710999,1610124
2016/4/27,551,552.5,540,543.5,515.964355,1097271
2016/4/28,549,549,535,541.5,514.065674,1709030
2016/4/29,534,553.5,534,542,514.540283,931052
2016/5/3,548,548,538.875,545,517.388306,520988
2016/5/4,541,548.5,538,543,515.489685,754229
2016/5/5,543,562,542.099976,556.5,528.305725,2363313
2016/5/6,555.5,564,555,560.5,532.102966,1072314
2016/5/9,559.875,566.5,551.19397,554.5,526.407043,375375
2016/5/10,556,558.5,540,543.5,515.964355,743718
2016/5/11,541,548.5,541,541.5,514.065674,352076
2016/5/12,540,548,538,544,516.438965,1192827
2016/5/13,543,555,539,542.5,515.014954,674457
2016/5/16,543.5,551.5,538,549,521.185669,1072801
2016/5/17,546,552,543.5,549,521.185669,1332815
2016/5/18,549.5,553.5,541.5,543,515.489685,372506
2016/5/19,540,545,533,533.5,506.470917,377191
2016/5/20,536.5,556.888977,533.349976,553.5,525.457642,683379
2016/5/23,562,578.5,558,570,541.121704,1353061
2016/5/24,586,588,573,577,547.76709,1585153
2016/5/25,590,590,569,580,550.615051,1425848
2016/5/26,583,593,575.5,590,560.108521,671843
2016/5/27,593,593,583,590,560.108521,880652
2016/5/31,595,604.5,592,602,571.500488,2341678
2016/6/1,601,607.5,599,605,574.348511,1599811
2016/6/2,608,608.5,603.5,608.5,577.671143,1205254
2016/6/3,610,618,605,615.5,584.316528,1055499
2016/6/6,619,619,611,612.5,581.468506,858463
2016/6/7,618,620,608,608,577.196472,1049988
2016/6/8,610,612,595,599.5,569.127136,889206
2016/6/9,604.5,604.5,596.414001,600,569.601807,698340
2016/6/10,603.5,603.5,588.5,592.5,562.48175,574738
2016/6/13,595,600,581.5,581.5,552.039063,1052845
2016/6/14,580,589,565.354004,571,542.071106,725014
2016/6/15,576,576,565.570007,570,541.121704,1140423
2016/6/16,567,581.450012,562.5,566.5,537.799011,1086829
2016/6/17,565,572.5,562,565.5,536.849731,2271158
2016/6/20,575,582.5,568,577.5,548.241699,1143875
2016/6/21,575,580.549988,566.5,575,545.868469,1220887
2016/6/22,575,580.625,566,569.5,540.647095,1746063
2016/6/23,582.5,584.5,572.5,576.5,547.292358,1136890
2016/6/24,550,569.5,529.5,565.5,536.849731,1698185
2016/6/27,562.5,566,524,528.5,501.724274,2536087
2016/6/28,537.5,550,526,543,515.489685,2069596
2016/6/29,543,558.5,542.625,556,527.831055,1274322
2016/6/30,553,564.5,547.25,563,534.476318,1220527
2016/7/1,566,610.5,566,605,574.348511,2706889
2016/7/4,611,611,587.5,591.5,561.53241,1262445
