Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,845.5,853,833.5,833.5,821.403198,162173
2016/2/10,859,859,832,832,819.924988,65144
2016/2/11,845,845,815.5,815.5,803.664429,65960
2016/2/12,810.5,824.5,810.5,811,799.229736,83302
2016/2/15,837,841,802.5,838,825.837891,97970
2016/2/16,859,891.349976,810,812,800.21521,59139
2016/2/17,816.5,820,794,794,782.476501,200305
2016/2/18,815,815,793.419983,800,788.389343,120649
2016/2/19,790,810.809021,790,800,788.389343,156660
2016/2/22,785,805,785,794,782.476501,372019
2016/2/23,810,810,790,796,784.447449,77906
2016/2/24,805,813.5,799,810,798.244324,596574
2016/2/25,810,904,810,900,886.93811,650373
2016/2/26,920,921.900024,887.594971,890,877.083191,207624
2016/2/29,869,890,869,885,872.155762,174487
2016/3/1,908.5,908.5,867.539978,887,874.126709,146544
2016/3/2,888,892,882.5,889.5,876.590515,56780
2016/3/3,892,892,876.5,878,865.257385,330229
2016/3/4,884.5,884.5,864,869,856.388,193648
2016/3/7,880,888.5,877,886,873.141235,167326
2016/3/8,878,912.5,878,908.5,895.314636,68978
2016/3/9,905,940,903.630005,936,922.415649,142472
2016/3/10,941.5,941.5,914.5,918,904.676819,136121
2016/3/11,916,916,892.5,909,895.807434,116586
2016/3/14,901,983.5,901,967.5,953.458435,245887
2016/3/15,967,972,949.5,951.5,937.690613,240366
2016/3/16,962,987.5,949,987.5,973.168152,215454
2016/3/17,990,1012,961,1012,997.312561,141485
2016/3/18,1010,1070,1003,1045,1029.83374,307033
2016/3/21,1026,1052,1026,1052,1036.731934,137019
2016/3/22,1027,1068.650024,1027,1055,1039.688599,95946
2016/3/23,1035,1072,1035,1064,1048.557983,94660
2016/3/24,1057,1065,1037,1038,1022.935242,55290
2016/3/29,1036,1057,1021.700012,1057,1041.659424,51764
2016/3/30,1079,1079,1032,1033,1018.007874,240106
2016/3/31,1043,1064.819946,1039,1057,1041.659424,62511
2016/4/1,1043,1075.959961,1038.599976,1064,1048.557983,59753
2016/4/4,1074,1074,1064,1073,1057.427246,71395
2016/4/5,1058,1083,1058,1082,1066.296631,55784
2016/4/6,1071,1086,1071,1078,1062.354736,48625
2016/4/7,1099,1125,1078,1120,1103.745239,139110
2016/4/8,1144,1144,1111,1132,1115.571045,119435
2016/4/11,1127,1151,1119.619995,1151,1134.295288,108911
2016/4/12,1120,1197,1120,1172,1154.990479,474811
2016/4/13,1182,1194,1161,1175,1157.947021,133537
2016/4/14,1175,1175,1143,1156,1139.222778,120237
2016/4/15,1150,1169,1144,1155,1138.237183,152418
2016/4/18,1158,1158,1143,1143,1126.411255,57978
2016/4/19,1168,1168,1135,1135,1118.527466,49217
2016/4/20,1165,1165,1093,1101,1085.020996,114400
2016/4/21,1099,1107,1055,1062,1046.586914,147590
2016/4/22,1054,1080,1042.5,1060,1044.615967,38367
2016/4/25,1052,1086,1052,1081,1065.311157,52785
2016/4/26,1073,1084.400024,1054,1056,1040.67395,97029
2016/4/27,1071,1071,1050,1050,1034.761108,54650
2016/4/28,1050,1055,1027.459961,1047,1031.804565,77160
2016/4/29,1047,1050,1035,1047,1031.804565,40795
2016/5/3,1054,1059.599976,1043,1050,1034.761108,157891
2016/5/4,1047,1053,1022,1022,1007.167419,61774
2016/5/5,1003,1027,1003,1024,1009.138428,71154
2016/5/6,1052,1060.400024,1021,1021,1006.182007,35257
2016/5/9,1030,1047,1026,1029,1014.065918,48798
2016/5/10,1029,1040,1023,1035,1019.978821,70075
2016/5/11,1032,1041,1031,1040,1024.90625,103334
2016/5/12,1061,1061,1033,1042,1026.877197,69628
2016/5/13,1043,1057,996.929993,1033,1018.007874,52587
2016/5/16,1022,1046,1022,1036,1020.964294,25014
2016/5/17,1063,1064,1043,1052,1036.731934,44509
2016/5/18,1048,1066,1041,1050,1034.761108,79621
2016/5/19,1035,1073,1035,1045,1035.950684,91089
2016/5/20,1041,1064,1034,1045,1035.950684,70623
2016/5/23,1028,1074,1028,1074,1064.699463,54506
2016/5/24,1081,1099,1064,1099,1089.483032,45076
2016/5/25,1100,1112,1081.660034,1111,1101.37915,76802
2016/5/26,1133,1133,1111,1129,1119.223267,55682
2016/5/27,1131,1141,1129,1138,1128.145386,60681
2016/5/31,1134,1154,1134,1150,1140.041382,103117
2016/6/1,1168,1168,1130,1147,1137.067383,83349
2016/6/2,1140,1157,1125,1142,1132.110718,89124
2016/6/3,1137,1147.410034,1128.069946,1142,1132.110718,72544
2016/6/6,1162,1162,1127,1151,1141.032837,89145
2016/6/7,1155,1156,1146.150024,1150,1140.041382,65012
2016/6/8,1130,1154,1130,1150,1140.041382,57858
2016/6/9,1175,1175,1144,1152,1142.024048,48998
2016/6/10,1150,1157,1149,1154,1144.006836,70781
2016/6/13,1177,1177,1124,1133,1123.188599,100383
2016/6/14,1134,1137.280029,1113,1113,1103.361816,112519
2016/6/15,1144,1144,1066.829956,1095,1085.5177,80008
2016/6/16,1075,1083,1030,1050,1040.907349,163859
2016/6/17,1051,1094,1050,1094,1084.526367,333797
2016/6/20,1110,1150,1103.150024,1150,1140.041382,97554
2016/6/21,1170,1187,1141,1187,1176.720947,148879
2016/6/22,1183,1196,1176,1196,1185.643066,93594
2016/6/23,1211,1212,1179,1212,1201.504517,147993
2016/6/24,1176,1274,1139,1273,1261.976196,272593
2016/6/27,1245,1255,1140.699951,1175,1164.824951,198750
2016/6/28,1197,1221,1184,1202,1191.591064,147194
2016/6/29,1232,1271,1211,1271,1259.99353,101621
2016/6/30,1271,1318,1253,1295,1283.785767,104591
2016/7/1,1314,1314,1266,1302,1290.725098,56989
2016/7/4,1288,1304,1242,1245,1234.218628,143675
2016/7/5,1245,1277,1185.640015,1241,1230.253418,190240
2016/7/6,1237,1246,1200,1210,1199.521851,119062
2016/7/7,1221,1230,1210,1212,1201.504517,155037
2016/7/8,1188,1228,1188,1214,1203.487183,179067
2016/7/11,1229,1264,1221,1249,1238.184082,145415
2016/7/12,1240,1240,1079.140015,1120,1110.30127,630263
2016/7/13,1108,1190,1108,1147,1137.067383,410248
2016/7/14,1161,1161.810059,1124.219971,1130,1120.2146,132609
2016/7/15,1117,1120,1056.23999,1067,1057.760254,218723
2016/7/18,1085,1104.329956,1075,1090,1080.560913,136246
2016/7/19,1099,1099,1068.560059,1092,1082.543701,145920
2016/7/20,1090,1114,1090,1107,1097.413818,334081
2016/7/21,1116,1127,1087.939941,1118,1108.318481,182911
2016/7/22,1127,1127,1110,1115,1105.344482,68571
2016/7/25,1124,1132,1100,1115,1105.344482,130943
2016/7/26,1118,1128,1105,1115,1105.344482,80068
2016/7/27,1105,1138,1105,1118,1108.318481,77227
2016/7/28,1120,1134,1111,1117,1107.327271,81520
2016/7/29,1107,1111,1100.680054,1105,1095.43103,65300
2016/8/1,1113,1113,1095.290039,1102,1092.457031,87459
2016/8/2,1095,1127,1095,1119,1109.309814,66492
2016/8/3,1132,1132,1091.560059,1127,1117.240479,61348
2016/8/4,1138,1163,1116,1142,1132.110718,58814
2016/8/5,1148,1153,1133,1140,1130.12793,95991
2016/8/8,1149,1168,1145,1164,1153.920166,122952
2016/8/9,1169,1202,1160,1198,1187.625854,118228
2016/8/10,1208,1242,1193,1241,1230.253418,96137
2016/8/11,1225,1242,1209,1221,1210.426514,151829
2016/8/12,1203,1239,1203,1232,1221.331421,64559
2016/8/15,1261,1357,1239.060059,1288,1276.846436,168931
2016/8/16,1298,1335,1288,1330,1318.482666,193309
2016/8/17,1347,1347,1253,1264,1253.054199,138491
2016/8/18,1253,1277,1253,1271,1259.99353,79466
2016/8/19,1271,1299,1267,1283,1271.889648,47068
2016/8/22,1300,1311,1278,1294,1282.794434,73578
2016/8/23,1300,1300,1280,1288,1276.846436,67506
2016/8/24,1290,1300,1231.02002,1268,1257.019531,107727
2016/8/25,1260,1290,1248,1290,1278.829102,67892
2016/8/26,1289,1332.599976,1289,1326,1314.517212,88165
2016/8/30,1300,1365.719971,1297,1348,1336.326782,117711
2016/8/31,1333,1369,1333,1355,1343.266235,83159
2016/9/1,1355,1376.52002,1339.839966,1359,1347.231567,139314
2016/9/2,1356,1418,1356,1395,1382.9198,130713
2016/9/5,1391,1442,1383.959961,1425,1412.659912,72728
2016/9/6,1425,1512,1417.560059,1419,1406.711914,141811
2016/9/7,1416,1440,1401,1410,1397.789917,110113
2016/9/8,1414,1416,1342,1368,1356.153564,114045
2016/9/9,1376,1379,1344,1346,1334.344116,64957
2016/9/12,1332,1339,1321,1331,1319.473999,74532
2016/9/13,1357,1368,1332,1334,1322.447998,95022
2016/9/14,1345,1345,1325.609985,1326,1314.517212,101345
2016/9/15,1340,1353,1329,1333,1321.456665,80978
2016/9/16,1347,1353,1321,1335,1323.439331,215873
2016/9/19,1341,1349,1338,1347,1335.335449,61711
2016/9/20,1356,1383,1344,1357,1345.248779,86218
2016/9/21,1334,1397.290039,1334,1361,1349.214233,73552
2016/9/22,1360,1371.800049,1358,1369,1357.144897,34352
2016/9/23,1377,1397,1366,1397,1384.902466,334869
2016/9/26,1380,1425,1380,1410,1397.789917,86678
2016/9/27,1411,1417.800049,1362.160034,1375,1363.093018,64518
2016/9/28,1368,1395,1362,1379,1367.05835,65546
2016/9/29,1402,1407.060059,1367,1371,1359.127686,70048
2016/9/30,1360,1378,1358,1370,1358.13623,157202
2016/10/3,1364,1385,1362,1375,1363.093018,66554
2016/10/4,1377,1424,1376.719971,1384,1372.015137,121089
2016/10/5,1419,1419,1373,1402,1389.859131,87394
2016/10/6,1410,1419,1394,1413,1400.763916,106302
2016/10/7,1400,1415,1395,1408,1395.807251,96836
2016/10/10,1375,1425,1375,1420,1407.703247,83374
2016/10/11,1392,1431,1392,1428,1415.634033,42977
2016/10/12,1431,1437,1424,1431,1418.608154,182818
2016/10/13,1435,1445,1395,1406,1393.824585,105048
2016/10/14,1412,1446.23999,1392,1434,1421.582153,51024
2016/10/17,1440,1442.459961,1415,1429,1416.625366,52936
2016/10/18,1458,1465,1436,1445,1432.486816,73581
2016/10/19,1449,1481,1431,1475,1462.226929,114515
2016/10/20,1478,1512,1466,1497,1484.036499,96998
2016/10/21,1505,1508.5,1474,1475,1462.226929,164197
2016/10/24,1476,1502,1469,1480,1467.183716,81620
2016/10/25,1469,1489,1439.52002,1476,1463.218384,74964
2016/10/26,1480,1480,1431,1441,1428.521362,102324
2016/10/27,1439,1468,1428,1455,1442.400269,64408
2016/10/28,1438,1463,1435.599976,1451,1438.434814,52966
2016/10/31,1464,1482,1447,1461,1448.348267,106795
2016/11/1,1468,1476,1460,1468,1455.28772,112915
2016/11/2,1460,1500,1460,1473,1460.244385,113183
2016/11/3,1460,1464,1407,1417,1404.729248,314002
2016/11/4,1410,1412,1350,1358,1346.240234,158358
2016/11/7,1388,1389,1357,1382,1370.032349,140566
2016/11/8,1388,1402.719971,1378,1389,1376.97168,51902
2016/11/9,1381,1427,1368.349976,1406,1393.824585,312108
2016/11/10,1378,1407.640015,1325,1337,1325.422119,270856
2016/11/11,1322,1353.359985,1282,1282,1270.898315,295844
2016/11/14,1293,1311,1277.180054,1305,1293.699097,87583
2016/11/15,1303,1355,1303,1330,1318.482666,116358
2016/11/16,1325,1379,1325,1366,1354.170898,79506
2016/11/17,1366,1382.400024,1354,1355,1343.266235,84531
2016/11/18,1327,1359,1327,1350,1338.30957,103426
2016/11/21,1340,1360,1314,1354,1342.27478,101436
2016/11/22,1371,1371,1325,1331,1319.473999,160622
2016/11/23,1358,1358,1327,1335,1323.439331,80595
2016/11/24,1368,1368,1337,1350,1338.30957,37208
2016/11/25,1363,1374,1353,1370,1358.13623,64109
2016/11/28,1356,1376,1309,1372,1360.119019,103904
2016/11/29,1367,1367,1320,1350,1338.30957,74848
2016/11/30,1378,1378,1313,1350,1338.30957,109218
2016/12/1,1381,1381,1316,1345,1333.352783,56465
2016/12/2,1334,1340,1317,1335,1323.439331,79101
2016/12/5,1322,1350,1322,1345,1333.352783,66206
2016/12/6,1353,1405,1349,1361,1349.214233,53180
2016/12/7,1351,1380,1351,1374,1362.101685,93924
2016/12/8,1376,1472,1373,1462,1449.3396,203218
2016/12/9,1457,1489,1457,1461,1448.348267,102453
2016/12/12,1453,1469,1451,1453,1440.41748,113334
2016/12/13,1450,1496.609985,1438,1448,1435.460815,95832
2016/12/14,1460,1471,1375,1405,1392.833252,707404
2016/12/15,1405,1435,1399,1425,1412.659912,534655
2016/12/16,1406,1460,1406,1449,1436.452148,237484
2016/12/19,1483,1550,1482,1543,1529.638062,615537
2016/12/20,1554,1563.73999,1520,1525,1511.793945,291429
2016/12/21,1531,1551.26001,1526,1534,1520.716064,154933
2016/12/22,1564,1579,1528.51001,1534,1520.716064,113237
2016/12/23,1530,1535,1520,1535,1521.707397,36875
2016/12/28,1500,1573,1500,1534,1520.716064,252119
2016/12/29,1551,1582,1529.040039,1582,1568.300415,184309
2016/12/30,1568,1593,1533,1544,1530.629517,58655
2017/1/3,1523,1562,1523,1554,1540.542969,133134
2017/1/4,1562,1606,1551,1600,1586.144531,205282
2017/1/5,1604,1653,1598.449951,1640,1625.798096,204414
2017/1/6,1630,1658,1630,1655,1640.668213,131530
2017/1/9,1660,1689.550049,1635,1648,1633.728882,119794
2017/1/10,1643,1656,1627.640015,1640,1625.798096,200950
2017/1/11,1657,1657,1626,1636,1621.832886,82069
2017/1/12,1628,1629,1586,1598,1584.161865,194860
2017/1/13,1579,1602,1551,1600,1586.144531,130186
2017/1/16,1613,1617,1588,1597,1583.170532,92637
2017/1/17,1582,1592,1568,1583,1569.29187,182047
2017/1/18,1611,1611,1573,1586,1572.265869,96219
2017/1/19,1588,1618,1577,1616,1602.005981,88835
2017/1/20,1610,1665,1610,1650,1635.711548,126735
2017/1/23,1604,1655,1604,1655,1640.668213,256643
2017/1/24,1650,1661,1629,1637,1622.824097,110199
2017/1/25,1646,1659.199951,1615,1630,1615.884888,162859
2017/1/26,1647,1671,1624,1634,1619.850098,163060
2017/1/27,1620,1638,1620,1634,1619.850098,63364
2017/1/30,1638,1640,1624,1631,1616.876099,108447
2017/1/31,1637,1648,1629,1631,1616.876099,115821
2017/2/1,1630,1667,1623,1667,1652.564453,172840
2017/2/2,1671,1710,1647,1705,1690.235229,251901
2017/2/3,1704,1720,1693,1720,1705.105469,158023
2017/2/6,1738,1774,1719,1736,1720.966797,166685
2017/2/7,1733,1737,1700,1719,1704.114136,122365
2017/2/8,1737,1754,1727,1738,1722.949585,97708
2017/2/9,1746,1746,1724,1735,1719.975586,121266
2017/2/10,1746,1800.359985,1737,1791,1775.490601,110465
2017/2/13,1796,1796,1724,1732,1717.001465,213938
2017/2/14,1721,1740,1719.880005,1740,1724.932251,96315
2017/2/15,1750,1771,1739,1765,1749.715698,83867
2017/2/16,1774,1783,1758,1760,1744.759033,150074
2017/2/17,1770,1794,1755,1774,1758.637817,78791
2017/2/20,1767,1800,1759.819946,1769,1753.681152,120508
2017/2/21,1764,1772,1741,1758,1742.776245,153348
2017/2/22,1767,1767,1744,1751,1735.837036,150093
2017/2/23,1750,1800,1750,1789,1773.507813,271684
2017/2/24,1771,1784,1726,1742,1726.914795,163492
2017/2/27,1778,1778,1724,1741,1725.923584,145990
