Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,9165,9400,9019.610352,9260,8762.291016,514599
2016/2/10,9360,9375,9050,9120,8629.81543,291484
2016/2/11,9050,9101.299805,8647.490234,8765,8293.896484,251193
2016/2/12,8625,9042.259766,8625,8900,8421.640625,210939
2016/2/15,8955,9069.259766,8910,8985,8502.071289,64037
2016/2/16,8960,9170,8960,9145,8653.47168,200407
2016/2/17,9245,9705,9245,9600,9084.017578,409543
2016/2/18,9600,9780,9475,9600,9084.017578,170308
2016/2/19,9540,10130.90039,9540,10100,9557.143555,292053
2016/2/22,10060,10459.90039,10060,10320,9765.318359,216437
2016/2/23,10120,10362.79981,10050,10170,9623.379883,240377
2016/2/24,10100,10350,8976.129883,10260,9708.541992,314736
2016/2/25,10300,10690,10241.2002,10650,10077.58203,221807
2016/2/26,10750,10790,10580,10770,10191.13086,133687
2016/2/29,10700,11012.7002,10600,10800,10219.51856,252708
2016/3/1,10830,10830,10540,10550,9982.956055,322089
2016/3/2,10640,10670,10330,10350,9793.706055,408506
2016/3/3,10400,10618.40039,9775,9880,9348.966797,204033
2016/3/4,9875,10073,9617.019531,9700,9178.642578,211867
2016/3/7,9750,9800,9542,9620,9102.941406,169616
2016/3/8,9700,9735,9355,9450,8942.078125,483111
2016/3/9,9525,9705.110352,9388.75,9600,9084.017578,198422
2016/3/10,9685,9685,9436.290039,9505,8994.123047,229324
2016/3/11,9665,9665,9305,9305,8804.874023,163942
2016/3/14,9405,9435,9110,9155,8662.93457,191620
2016/3/15,9160,9220,8937.650391,9035,8549.383789,311513
2016/3/16,9075,9235,9025,9100,8610.890625,328920
2016/3/17,9240,9240,8965,9005,8520.998047,201547
2016/3/18,9040,9040,8705,8865,8388.521484,2208490
2016/3/21,8815,9055,8815,9025,8539.920898,133414
2016/3/22,9020,9345,9005.30957,9240,8743.366211,182873
2016/3/23,9060,9245,8895,9245,8748.097656,251550
2016/3/24,9180,9384.049805,9155,9300,8800.140625,103069
2016/3/29,9390,9390.530273,9160,9360,8856.916016,83317
2016/3/30,9480,9580,9300,9570,9055.628906,180694
2016/3/31,9570,9800,9550,9705,9183.373047,345922
2016/4/1,9640,9805,9595,9715,9192.835938,232694
2016/4/4,9750,9821.44043,9715,9760,9235.416016,68290
2016/4/5,9700,9745,9565,9665,9145.524414,263348
2016/4/6,9680,9760,9645,9725,9202.297852,165922
2016/4/7,9735,9760,9495.400391,9550,9036.704102,121703
2016/4/8,9540,9635,9505,9585,9069.823242,115983
2016/4/11,9505,9755,9395,9420,8913.69043,90118
2016/4/12,9445,9475,9290,9320,8819.067383,88422
2016/4/13,9355,9659.759766,9350,9590,9074.554688,182192
2016/4/14,9595,9660,9541.200195,9660,9140.791992,90990
2016/4/15,9600,9698.5,9540,9635,9117.136719,248271
2016/4/18,9545,9690,9505,9525,9013.046875,76111
2016/4/19,9465,9525,9315,9330,8828.52832,273661
2016/4/20,9230,9260,8843.919922,8925,8445.296875,230468
2016/4/21,8900,8975,8700,8715,8246.583008,189680
2016/4/22,8705,8721.740234,8345,8375,7924.858398,252210
2016/4/25,8395,8450,8325,8375,7924.858398,88241
2016/4/26,8485,8800,8450,8765,8293.896484,212040
2016/4/27,8735,9075,8725,9005,8520.998047,256279
2016/4/28,8940,9049.669922,8850,8995,8511.535156,112147
2016/4/29,8950,9170,8935,9150,8658.203125,153076
2016/5/3,9100,9215,9035.730469,9170,8677.128906,121456
2016/5/4,9185,9250,8790,8990,8506.804688,266653
2016/5/5,9000,9067.849609,8895,8895,8416.908203,100225
2016/5/6,8890,8950,8777.80957,8885,8407.447266,158011
2016/5/9,8905,9125,8905,9085,8596.696289,221489
2016/5/10,9090,9135.169922,8910,8940,8459.491211,210116
2016/5/11,8865,9090,8865,8975,8492.609375,38918
2016/5/12,8900,9110,8900,8940,8459.491211,106353
2016/5/13,8900,9045,8855,8945,8464.222656,48728
2016/5/16,8875,9010,8860,9010,8525.727539,32570
2016/5/17,9085,9085,8875,8875,8397.984375,60056
2016/5/18,8875,9142.389648,8825,8955,8473.68457,148760
2016/5/19,8875,8910,8633,8680,8213.464844,123793
2016/5/20,8680,8815,8642.870117,8760,8289.164063,133085
2016/5/23,8735,8880.299805,8735,8790,8317.551758,60962
2016/5/24,8765,8925,8730,8895,8416.908203,111580
2016/5/25,8940,9137,8905,9080,8591.96582,72215
2016/5/26,9040,9170,9040,9100,8610.890625,52882
2016/5/27,9120,9251.469727,9044.94043,9145,8653.47168,44093
2016/5/31,8955,9234.400391,8955,9165,8672.397461,97483
2016/6/1,9125,9275,9125,9230,8733.904297,73887
2016/6/2,9185,9300,9135,9210,8714.977539,110357
2016/6/3,9185,9400,9185,9400,8894.765625,68226
2016/6/6,9350,9415,9070,9390,8885.303711,78848
2016/6/7,9380,9637.389648,9340,9500,8989.390625,127094
2016/6/8,9435,9510,9359.580078,9375,8871.109375,157004
2016/6/9,9285,9440,9192.519531,9300,8800.140625,87775
2016/6/10,9255,9280,9155,9200,8705.516602,146556
2016/6/13,9220,9250,9083.700195,9100,8610.890625,86643
2016/6/14,9040,9095,8930,8975,8492.609375,96777
2016/6/15,8930,9073.040039,8820,8860,8383.791016,143801
2016/6/16,8720,8980,8650,8675,8208.733398,78240
2016/6/17,8700,8785,8558,8630,8166.153809,187246
2016/6/20,8785,9226.179688,8735,9000,8516.264648,205877
2016/6/21,9055,9056.870117,8805,9015,8530.459961,80417
2016/6/22,9065,9185,8880,9115,8625.084961,131892
2016/6/23,9195,9280,8700,8700,8232.389648,330226
2016/6/24,6525,8875,6525,8725,8256.045898,295662
2016/6/27,8710,8850,7835.990234,8060,7626.789551,235164
2016/6/28,7855,8335,7855,7990,7560.551758,109623
2016/6/29,7990,8125,7860,7950,7522.701172,160759
2016/6/30,7880,8010,7772.47998,7895,7470.657715,161440
2016/7/1,7885,8265,7880,8250,7806.577148,173855
2016/7/4,8300,8317.5,7930,7975,7546.35791,50171
2016/7/5,8040,8125,7817.660156,7995,7565.282227,109666
2016/7/6,8060,8120,7921.52002,7980,7551.088867,159971
2016/7/7,8125,8128.310059,7915,8070,7636.251953,150671
2016/7/8,8000,8270,8000,8225,7782.920898,104720
2016/7/11,8275,8460,8202.139648,8460,8005.290039,81487
2016/7/12,8380,8546.75,8365,8475,8019.483887,97254
2016/7/13,8445,8650,8207.599609,8610,8147.227539,136911
2016/7/14,8635,8715,8560,8605,8142.496582,95479
2016/7/15,8610,8635,8515,8565,8104.646973,108912
2016/7/18,8575,8630,8510,8595,8133.033691,47180
2016/7/19,8640,8855,8515,8855,8379.05957,96306
2016/7/20,8850,8890.05957,8785,8820,8345.94043,80854
2016/7/21,8760,8840,8738.620117,8755,8284.43457,308649
2016/7/22,8710,8805,8631.049805,8790,8317.551758,58446
2016/7/25,8805,8845,8680,8750,8279.702148,70355
2016/7/26,8750,8795,8611.599609,8645,8180.347168,43945
2016/7/27,8700,8700,8451.919922,8500,8043.13916,62403
2016/7/28,8550,8550,8416.450195,8495,8038.40918,130295
2016/7/29,8595,8865.25,8440,8800,8327.014648,130013
2016/8/1,8870,8900,8692.429688,8740,8270.239258,74224
2016/8/2,8740,8745,8545,8555,8095.184082,106008
2016/8/3,8535,8570,8285,8515,8057.333496,226139
2016/8/4,8500,8835,8485.700195,8830,8355.402344,118911
2016/8/5,8755,9200,8755,9150,8658.203125,91713
2016/8/8,9040,9256,9010,9235,8738.634766,83924
2016/8/9,9235,9255,9151.200195,9180,8686.59082,80535
2016/8/10,9195,9280,9101.650391,9190,8696.053711,93132
2016/8/11,9195,9330,9155,9315,8814.334961,105020
2016/8/12,9265,9615,9230,9580,9065.091797,70354
2016/8/15,9640,9847.049805,9360,9800,9273.267578,92303
2016/8/16,9775,9800,9615,9655,9136.060547,94071
2016/8/17,9655,9820,9585,9720,9197.566406,69487
2016/8/18,9800,9900,9640,9820,9292.192383,45809
2016/8/19,9780,9885.200195,9730,9885,9353.698242,108110
2016/8/22,9820,9853.700195,9740,9830,9301.654297,39621
2016/8/23,9815,10028.59961,9775,9950,9415.206055,75611
2016/8/24,9900,10020,9590,9735,9211.759766,383434
2016/8/25,9645,9750,9460.030273,9565,9050.898438,95568
2016/8/26,9545,9675,9385,9635,9117.136719,62779
2016/8/30,9560,9595,9175,9200,8705.516602,120475
2016/8/31,9200,9217.5,9100,9160,8667.666016,361034
2016/9/1,9125,9207.410156,9040,9070,8582.50293,63824
2016/9/2,9110,9150,9015,9015,8530.459961,167048
2016/9/5,9060,9370,9055,9185,8691.322266,75840
2016/9/6,9140,9285,8960,8960,8478.416016,46867
2016/9/7,9050,9120,8953.080078,9035,8549.383789,95870
2016/9/8,8915,9160,8915,9125,8672.944336,107334
2016/9/9,9075,9130,8871.700195,8920,8478.100586,86863
2016/9/12,8855,8990,8740,8950,8506.613281,218236
2016/9/13,8925,9090,8894.110352,8965,8520.871094,310406
