Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,1155.5,1173.5,1114.5,1126,1037.150513,7810791
2016/2/10,1141,1209,1132,1175.5,1082.744507,7688792
2016/2/11,1162.5,1166.969971,1085,1087,1001.227783,9272252
2016/2/12,1094,1158.5,1093,1157.5,1066.164795,8610462
2016/2/15,1193,1226.5,1178,1194,1099.784668,7199958
2016/2/16,1211.5,1213.5,1178,1183.5,1090.113281,5015725
2016/2/17,1190,1251,1188.5,1248,1149.523682,5359574
2016/2/18,1255.5,1257,1234,1246.5,1148.14209,4247865
2016/2/19,1236.5,1245,1216.5,1229.5,1132.483521,4998176
2016/2/22,1241,1259.5,1238,1253.5,1154.589722,2283899
2016/2/23,1248,1248.5,1217,1220,1123.733154,4390376
2016/2/24,1217,1223,1179.5,1187,1093.337158,4275613
2016/2/25,1213.5,1242.5,1211,1233,1135.707275,4944730
2016/2/26,1226.5,1248.5,1225,1246,1147.681519,6162667
2016/2/29,1242,1258,1229,1257.5,1158.27417,4844503
2016/3/1,1257,1307,1244.650024,1307,1203.868164,6688289
2016/3/2,1320.5,1337,1314.5,1329.5,1224.592773,6810838
2016/3/3,1332,1351.5,1325.5,1340.5,1234.724731,3883906
2016/3/4,1340,1351.5,1327,1346.5,1240.251343,4303310
2016/3/7,1336,1349.5,1307.189941,1326.5,1221.829468,4462061
2016/3/8,1312,1340,1300.5,1326.5,1221.829468,4871466
2016/3/9,1335,1387.5,1323.5,1365,1257.291626,6985562
2016/3/10,1361,1398.5,1319.5,1319.5,1215.381836,8259184
2016/3/11,1342.5,1367,1333.5,1358.5,1251.304443,5160061
2016/3/14,1350,1374.5,1335,1346,1239.791016,6023761
2016/3/15,1341,1341,1309.5,1317.5,1213.539795,4604671
2016/3/16,1317.5,1339.5,1309,1338.5,1232.88269,4423882
2016/3/17,1344,1355,1317.699951,1355,1248.080566,4653419
2016/3/18,1357,1385.150024,1347.5,1371,1262.818115,7056318
2016/3/21,1362.5,1388.5,1356,1370.5,1262.357544,3482018
2016/3/22,1360.5,1365,1341.5,1355.5,1248.541138,3615710
2016/3/23,1355.5,1361.5,1333.5,1346,1239.791016,3324397
2016/3/24,1312,1320.469971,1271,1275.5,1198.421387,4901996
2016/3/29,1286.5,1312.5,1274.150024,1294,1215.803467,3820764
2016/3/30,1303,1312,1294,1302,1223.320068,3735399
2016/3/31,1300,1313.5,1284,1301,1222.380493,6383704
2016/4/1,1281,1289,1264.900024,1279,1201.710083,5548860
2016/4/4,1275,1300,1275,1290.5,1212.515137,3540066
2016/4/5,1270,1281.949951,1251.5,1268,1191.374634,5001957
2016/4/6,1265.5,1316.5,1259,1310.5,1231.306519,7674076
2016/4/7,1313,1313.109985,1274.5,1281,1203.589233,4744579
2016/4/8,1283,1321,1280,1310.5,1231.306519,4695188
2016/4/11,1308.5,1333.5,1299.5,1313,1233.655396,3220190
2016/4/12,1314,1348,1307,1345,1263.72168,4235481
2016/4/13,1354.5,1409,1351,1404,1319.15625,6812709
2016/4/14,1404,1415.77002,1391,1413.5,1328.082275,5441487
2016/4/15,1413,1420.5,1386,1395,1310.700073,4466029
2016/4/18,1379,1391,1368.790039,1387.5,1303.65332,3173995
2016/4/19,1387,1431.5,1387,1425.5,1339.356934,6375279
2016/4/20,1419,1441,1401.5,1436.5,1349.692261,7565034
2016/4/21,1438.5,1469.5,1438,1449,1361.437012,5634485
2016/4/22,1444,1461,1430.5,1440,1352.980835,4725813
2016/4/25,1436,1444.5,1405.5,1413.5,1328.082275,3768497
2016/4/26,1416,1426.5,1408.5,1409.5,1324.323975,3218276
2016/4/27,1406,1416,1377,1385,1301.304443,5359094
2016/4/28,1368.5,1375,1350,1375,1291.908813,4842989
2016/4/29,1360,1370.5,1345,1347.5,1266.070557,3802931
2016/5/3,1379,1379,1323,1327.5,1247.279175,5436439
2016/5/4,1322,1333.5,1307,1312,1232.71582,4249737
2016/5/5,1318.5,1325,1303,1310,1230.836792,3698953
2016/5/6,1299.5,1310,1281.5,1303.5,1224.729492,3939534
2016/5/9,1311.859985,1328,1300.5,1301,1222.380493,3529106
2016/5/10,1315,1320,1298,1310,1230.836792,2901787
