Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,6003,6032,5925,5954,5556.470703,1427193
2016/2/10,5996,6030,5955,5967,5568.602051,1700375
2016/2/11,5930,5951,5846,5847,5456.614746,1268821
2016/2/12,5876,5972,5839.080078,5966,5567.669922,1538474
2016/2/15,6275,6400,6207,6371,5945.62793,1798489
2016/2/16,6400,6497.259766,6354,6410,5982.024414,1804316
2016/2/17,6465,6542,6446,6513,6078.147949,1773315
2016/2/18,6546,6552,6453,6486,6052.950195,1113856
2016/2/19,6499,6572,6485,6556,6118.276367,887517
2016/2/22,6603,6687,6577,6582,6142.541016,720148
2016/2/23,6544,6585.180176,6513,6554,6116.410645,1135386
2016/2/24,6564,6564,6479,6520,6084.680664,984770
2016/2/25,6559,6643,6549,6625,6182.669434,968366
2016/2/26,6717,6726,6594,6603,6162.138672,858482
2016/2/29,6555,6573,6508.299805,6560,6122.009766,1260193
2016/3/1,6564,6687,6514,6676,6230.264648,871982
2016/3/2,6782,6782,6466,6503,6068.81543,1241356
2016/3/3,6508,6519,6438.450195,6458,6026.819336,719367
2016/3/4,6455,6601,6437,6539,6102.411621,875904
2016/3/7,6530,6545,6407,6436,6006.289063,891174
2016/3/8,6400,6486,6356,6470,6038.018555,934502
2016/3/9,6480,6599,6476,6578,6138.807617,1098001
2016/3/10,6600,6648,6462,6462,6030.552734,1683173
2016/3/11,6530,6579,6509,6529,6093.07959,927432
2016/3/14,6543,6660,6530.040039,6637,6193.868164,1187146
2016/3/15,6621,6688,6582,6649,6205.067383,771697
2016/3/16,6662,6694,6635,6641,6197.601563,880784
2016/3/17,6658,6688,6585,6671,6225.598633,973708
2016/3/18,6685,6700,6596,6600,6159.339355,1688905
2016/3/21,6571,6655,6559.200195,6646,6202.268066,969621
2016/3/22,6617,6656,6512,6641,6197.601563,2035933
2016/3/23,6653,6708,6649,6706,6258.262207,886045
2016/3/24,6689,6710,6636,6695,6247.996094,1087955
2016/3/29,6736,6786,6692,6714,6265.727539,1152220
2016/3/30,6760,6800,6738,6771,6318.920898,999030
2016/3/31,6757,6757,6694,6730,6280.65918,1236152
2016/4/1,6661,6723.700195,6598,6705,6257.328125,1191058
2016/4/4,6714,6787,6693,6734,6284.39209,745294
2016/4/5,6701,6799,6680,6768,6316.12207,1104888
2016/4/6,6803,6830,6761,6808,6353.45166,1363941
2016/4/7,6819,6868,6780,6804,6349.718262,1062712
2016/4/8,6834,6834,6752,6778,6325.45459,938189
2016/4/11,6768,6780,6719,6744,6293.724609,867889
2016/4/12,6738,6811,6690,6794,6340.38623,944366
2016/4/13,6843,6861,6799.490234,6845,6387.980957,1436401
2016/4/14,6790,6817,6709,6778,6408.498047,1063440
2016/4/15,6803,6831.290039,6726,6735,6367.842285,1533068
2016/4/18,6700,6869.029785,6679.5,6868,6493.591797,1542624
2016/4/19,6880,7069.819824,6857,6974,6593.8125,1533602
2016/4/20,6984,7000,6891,6925,6547.484863,1270114
2016/4/21,6932,6968.339844,6735,6824,6451.990723,1322153
