Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,339.700012,348.399994,329.884003,345.700012,246.431244,5136320
2016/2/10,344.700012,353.100006,339.399994,343.799988,245.076828,3860280
2016/2/11,343.600006,343.600006,335.299988,337.799988,240.799698,4211050
2016/2/12,339.799988,341.399994,331,338,240.942276,5455980
2016/2/15,343.899994,350,336.299988,348.299988,248.284592,4091590
2016/2/16,351.700012,352.700012,347.299988,352.200012,251.064743,2135820
2016/2/17,354,367.5,353.899994,366.100006,260.973328,3963150
2016/2/18,369.299988,369.299988,358.700012,361.200012,257.480347,2203330
2016/2/19,362.100006,377.700012,354.200012,374,266.604797,2879070
2016/2/22,376,380.700012,369.100006,371.799988,265.036499,1962760
2016/2/23,371.200012,377.600006,367.700012,376.899994,268.672028,1697020
2016/2/24,374.399994,382.131989,374.399994,377.600006,269.171051,2139160
2016/2/25,379.399994,392.720001,379.299988,391.5,279.07959,1972040
2016/2/26,402.200012,412.200012,367.600006,377.100006,268.814575,6098940
2016/2/29,367.100006,394.700012,366.600006,393.399994,280.43399,4137470
2016/3/1,391.700012,407.200012,389.100006,406.899994,290.057434,3245340
2016/3/2,413,413.899994,397.299988,399.700012,284.924988,2491420
2016/3/3,399.100006,400.100006,391.299988,393.200012,280.291412,1397160
2016/3/4,396.700012,396.799988,389.700012,391.799988,279.293457,2599790
2016/3/7,392.600006,405,388.5,391.399994,279.008331,1972160
2016/3/8,390.5,390.700012,379.200012,383,273.020416,2117310
2016/3/9,384.600006,389.299988,380.5,388,276.584656,1606340
2016/3/10,388.700012,392.44101,376.100006,378.100006,269.527466,3126990
2016/3/11,383.399994,386.100006,379.399994,385,274.446106,1950570
2016/3/14,385.899994,393.200012,385.600006,392.5,279.79245,1574710
2016/3/15,392.200012,398.700012,390,396.600006,282.715149,1597940
2016/3/16,398.799988,401.200012,394,400,285.138794,1529340
2016/3/17,402,402,395.600006,399.200012,284.568573,1523380
2016/3/18,399.899994,404.399994,398,400.799988,285.709076,2351430
2016/3/21,400,403.899994,399.399994,402.299988,286.778381,1074170
2016/3/22,402.799988,409.399994,399.799988,408.5,291.197998,1839020
2016/3/23,407.899994,414.600006,407.899994,414.600006,295.546387,1886920
2016/3/24,414.700012,415.700012,409.200012,415.100006,295.902802,1777070
2016/3/29,415.399994,420.700012,411.475006,419.5,299.039337,1505470
2016/3/30,424.200012,426.299988,422.399994,425,302.959961,1424520
2016/3/31,425,425.100006,416.5,421.100006,300.179901,2609550
2016/4/1,419.100006,419.100006,410.799988,415.5,296.187927,2518760
2016/4/4,414.799988,420.899994,413.399994,414.200012,295.26123,1955880
2016/4/5,414,415.399994,407.5,413.700012,294.904816,2183840
2016/4/6,414.299988,419.899994,411.100006,418.899994,298.611603,1571860
2016/4/7,419.5,422.299988,413.100006,416.399994,296.829529,1035620
2016/4/8,415.5,417.837006,411.122986,415.200012,295.97406,1790340
2016/4/11,413.299988,419.299988,397.700012,399.700012,284.924988,2262200
2016/4/12,401,401,393.399994,397.200012,283.142853,2076700
2016/4/13,403.299988,403.299988,396,399,284.425964,1530590
2016/4/14,398.600006,400,390,394,280.861755,2357120
2016/4/15,394.100006,400.598999,387.299988,387.299988,276.085663,1415010
2016/4/18,389.899994,393.399994,386.899994,388.799988,277.154907,2360420
2016/4/19,391,401.899994,388,399.200012,284.568573,1879670
2016/4/20,396.799988,398.743988,387,387,275.871796,1900560
2016/4/21,387.899994,388,382.406006,386.600006,275.58667,1749670
2016/4/22,385.5,391.399994,383.100006,386.200012,275.301514,1569400
2016/4/25,385.799988,392.700012,385.5,390.799988,278.580597,1561600
2016/4/26,389.799988,395,388.700012,388.700012,277.083649,2364660
2016/4/27,388.899994,400.100006,388.899994,398,283.713104,1381080
2016/4/28,395.600006,397.799988,389.994995,392.5,279.79245,1201760
2016/4/29,392.399994,392.799988,385.5,385.799988,275.016357,1413450
2016/5/3,387.5,402.799988,385.5,400.100006,285.210114,1925900
2016/5/4,398.5,401.600006,394.700012,399.299988,284.639801,1433120
2016/5/5,398.799988,400.5,394.200012,398.100006,304.365021,1320550
2016/5/6,391.100006,401.899994,391.100006,397.399994,303.829895,948870
2016/5/9,398.070007,405.700012,397.399994,399.200012,305.206055,1398300
2016/5/10,404.899994,404.899994,395.899994,398.200012,304.441498,901150
2016/5/11,398.299988,403.556,397.895996,399.700012,305.588318,854080
2016/5/12,399.899994,401.100006,394.799988,397.299988,303.753418,911300
2016/5/13,395,398.799988,390.744995,391.299988,299.166138,1310720
2016/5/16,390.5,394,388.600006,393.700012,301.001038,658740
2016/5/17,395.299988,405.399994,395.200012,399.600006,305.511871,1329620
2016/5/18,396.899994,405.700012,396.700012,405.700012,310.175629,1385670
2016/5/19,401.5,407.243011,401.200012,402.200012,307.499695,1362620
2016/5/20,402.799988,408.299988,402.600006,406.100006,310.481415,1805990
2016/5/23,404.100006,413.899994,403.700012,410.600006,313.921844,1288540
2016/5/24,411.399994,416.100006,408,415.700012,317.821014,1616570
2016/5/25,419,423.299988,416.899994,422,322.637634,1867170
2016/5/26,422,424.399994,419.799988,422.200012,322.790619,1416820
2016/5/27,420.700012,422.899994,420.700012,422.5,323.019958,1260080
2016/5/31,422.5,424.256012,417.476013,422.399994,322.943451,1370010
2016/6/1,421.299988,425.899994,416.175995,421.5,322.255402,1599780
2016/6/2,420.200012,423.77301,418.256012,422.700012,323.172852,1500840
2016/6/3,422.399994,425.5,419.600006,421.899994,322.561218,791620
2016/6/6,420.299988,424.700012,417,423,323.402222,1205580
2016/6/7,423.299988,426.740997,422,422.700012,323.172852,863720
2016/6/8,422,424.299988,419.799988,424,324.166748,1220920
2016/6/9,422.200012,424,420.600006,422.299988,322.867004,996540
2016/6/10,421.5,423.899994,416.200012,418.100006,319.655945,1690000
2016/6/13,416.700012,416.700012,409.799988,411.100006,314.304138,1341080
2016/6/14,407.700012,412,388,389.700012,297.942902,4566580
2016/6/15,392.299988,395.899994,390.200012,392.5,300.083588,2045020
2016/6/16,390.799988,391.899994,379.100006,380.100006,290.603271,2601800
2016/6/17,381.700012,393.899994,381.299988,392.299988,299.930695,2604390
2016/6/20,410,415.700012,409.299988,413.200012,315.909668,2686780
2016/6/21,416.600006,418.799988,410.289001,418,319.579468,1877010
2016/6/22,420.899994,420.899994,414.835999,417,318.814941,1926270
2016/6/23,421.5,428,418.299988,422.5,323.019958,1989680
2016/6/24,376.299988,376.600006,341.399994,363,277.529572,13428120
2016/6/27,356,359.799988,323.399994,336.399994,257.192657,10395590
2016/6/28,345.200012,365.799988,338.394012,364.799988,278.905731,5964050
2016/6/29,370.700012,386.963989,364.700012,371.5,284.028198,4780860
2016/6/30,371.899994,371.899994,348.899994,364.799988,278.905731,5316480
2016/7/1,367.600006,378.200012,363.399994,373.799988,285.786652,2109460
2016/7/4,363.399994,363.399994,343.299988,350,267.590485,3530560
2016/7/5,345.700012,354.917999,334.899994,336,256.886841,4706210
2016/7/6,335.799988,335.799988,315.899994,317.299988,242.589905,6159170
2016/7/7,318.700012,339.200012,317.299988,337.799988,258.263031,5203710
2016/7/8,330.600006,350.200012,330.5,349,266.825928,4444950
2016/7/11,352.100006,369.799988,347.700012,368.799988,281.963898,4132570
2016/7/12,370,380.600006,369.299988,371.5,284.028198,3912210
2016/7/13,371.799988,380.02301,336.644012,367.899994,281.275818,4096590
2016/7/14,369.799988,376.899994,365.100006,369.700012,282.652008,3424270
2016/7/15,369.799988,370,358.899994,362.399994,277.070801,3747060
2016/7/18,361.899994,369.899994,361.899994,368,281.352264,3203680
2016/7/19,369.200012,372.049011,364.700012,371.100006,283.722321,2003660
2016/7/20,376.100006,379.200012,368.899994,376.399994,287.774445,2228740
2016/7/21,379.399994,379.399994,370.100006,374.799988,286.551178,2125390
2016/7/22,374.899994,374.899994,363,372,284.410461,2642850
2016/7/25,371.899994,378.804993,368.799988,377.799988,288.844788,1798960
2016/7/26,374.700012,383,371.399994,379,289.762268,2837790
2016/7/27,390,422.600006,390,412.100006,315.068665,7201670
2016/7/28,408,418.399994,405.899994,407,311.169495,4595950
2016/7/29,408.700012,409.600006,397.100006,405.100006,309.716888,4202830
2016/8/1,408.799988,413.700012,402.700012,402.700012,307.881958,2216530
2016/8/2,405.700012,407.100006,398.700012,406.100006,310.481415,2230020
2016/8/3,408,409,402,407,311.169495,1778730
2016/8/4,411.200012,414.200012,404.100006,410.5,313.845398,2597160
2016/8/5,414.100006,421.600006,411.399994,421.399994,322.178894,2230020
2016/8/8,421,423.200012,415.200012,416,318.050354,1408960
2016/8/9,419.399994,419.700012,415.5,418.899994,320.267578,1750420
2016/8/10,417.700012,420.600006,416,417.899994,319.503021,1166680
2016/8/11,419,419.600006,411.5,415.799988,317.897491,2142010
2016/8/12,416.5,419.600006,415.200012,417.799988,319.426575,1328310
2016/8/15,421.399994,421.399994,416.299988,416.600006,318.509094,858750
2016/8/16,416.799988,420,412.899994,413.700012,316.291962,1111170
2016/8/17,419.399994,419.399994,409.700012,415.200012,317.438782,1373280
2016/8/18,419,422,414.600006,420.399994,321.414368,1106280
2016/8/19,418.200012,421,416.100006,420.5,321.490845,1197680
2016/8/22,420.299988,426.299988,420.079987,426.100006,325.772308,1321010
2016/8/23,427.600006,428,420,423.700012,323.937408,1828320
2016/8/24,420.100006,423.700012,418.899994,421.899994,322.561218,1133130
2016/8/25,420.5,421.100006,416.299988,420.299988,321.337921,1317610
2016/8/26,419.799988,422,416.799988,420.799988,321.720184,1064050
2016/8/30,424.600006,428.700012,415.799988,416.700012,318.585571,2105400
2016/8/31,419.200012,421,409,409.899994,313.386658,2034740
2016/9/1,412.299988,413.799988,409.247986,412.5,315.374512,1547020
2016/9/2,415.899994,415.899994,407.600006,412.600006,315.450928,1725120
2016/9/5,420.200012,420.5,414.100006,418,319.579468,892350
2016/9/6,420.5,422.899994,416.700012,422.700012,323.172852,1011570
2016/9/7,422.299988,422.600006,418.700012,420,321.108582,881940
2016/9/8,418.799988,425.200012,413.100006,423.399994,323.708008,1108870
2016/9/9,423.700012,423.700012,411.899994,413,315.756775,886920
2016/9/12,410.799988,412,400.700012,411,314.227692,2371260
2016/9/13,412.100006,414.299988,407.5,408.200012,312.086945,1288690
2016/9/14,411.100006,414.299988,407.399994,409.899994,313.386658,885450
2016/9/15,409.700012,415.299988,406.5,414.700012,317.056488,920920
2016/9/16,415.700012,419.700012,413.200012,418,319.579468,2780550
2016/9/19,420.5,424,416.399994,419.299988,320.573395,706220
2016/9/20,419.899994,420.200012,416.799988,417.700012,319.350128,1204760
2016/9/21,418.899994,420.600006,413.799988,414.100006,316.597717,943270
2016/9/22,415.799988,419.419006,414.200012,415.799988,317.897491,1177410
2016/9/23,414.700012,414.899994,408.200012,409.299988,312.927917,1425600
2016/9/26,407.600006,411.799988,406.200012,408.700012,312.469208,2611650
2016/9/27,412.399994,412.399994,407.799988,412.299988,315.221558,3059310
2016/9/28,415.200012,421.899994,411.644989,420.899994,321.796631,2365080
2016/9/29,421.899994,427.5,420,423.200012,323.555145,1534970
2016/9/30,419.299988,422.799988,415.899994,422.200012,322.790619,1677800
2016/10/3,421.100006,435.399994,420.105011,429.299988,328.218842,2700030
2016/10/4,433.100006,441.600006,429.5,430.200012,328.906921,3407590
2016/10/5,428.100006,428.557007,418.5,418.5,319.961761,1692010
2016/10/6,419.899994,422.299988,414.881989,415.5,332.776276,1697650
2016/10/7,411.899994,418,406.899994,408.100006,326.849548,8075780
2016/10/10,409.100006,410,401.700012,405.399994,324.687103,2315910
2016/10/11,405.299988,406.799988,402.700012,405.200012,324.526917,7580370
2016/10/12,407.299988,407.299988,400.700012,401.299988,321.403381,1215190
2016/10/13,401.5,402.600006,391.399994,393.600006,315.23645,17860460
2016/10/14,395.799988,399.200012,392.5,393.700012,315.316498,3258850
2016/10/17,393.799988,393.799988,386.399994,389.700012,312.112885,3129080
