Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,515,518.5,497,512.5,494.628723,7603596
2016/2/10,514,528,507,528,509.588196,9853974
2016/2/11,521.5,536.75,506.5,530,511.518463,10383917
2016/2/12,600,629,585,606,584.868286,22498058
2016/2/15,619.5,624.5,594,615,593.554504,12199897
2016/2/16,618.5,632,611.5,631.5,609.479126,9787425
2016/2/17,631,678,629,678,654.357544,14430737
2016/2/18,681,691.5,656.125,661,637.950439,9277556
2016/2/19,658.5,663,638,642,619.612915,7700875
2016/2/22,647,659.5,644.200012,658.5,635.537598,2957858
2016/2/23,658,677,639.632996,663.5,640.363281,6934304
2016/2/24,660.5,666,642.5,653.5,630.711914,7131386
2016/2/25,661,687,659,670,646.636597,6367485
2016/2/26,672.5,689.5,671.5,679,655.322754,5033723
2016/2/29,672.5,682,670.5,679,655.322754,7459985
2016/3/1,673,690.5,669.5,683,659.183289,5487937
2016/3/2,689,693,674,680,656.287842,16599237
2016/3/3,683,738,680,716,691.032532,11788475
2016/3/4,720,728.5,714,722.5,697.305908,6100977
2016/3/7,723,732.234009,707.049988,721.5,696.340698,6508392
2016/3/8,714.5,720.5,697.500977,706.5,681.86377,5546973
2016/3/9,706.5,707.5,696.5,700,675.590454,8910563
2016/3/10,697.5,701.5,681.5,682,658.218079,6186536
2016/3/11,690.5,694,682.099976,686,662.078613,3019218
2016/3/14,688,698,678,681.5,657.735596,5382775
2016/3/15,676,682,673,676,652.427368,3355734
2016/3/16,680,680,665.5,675.5,651.944763,5868074
2016/3/17,680,703,673,701.5,677.038147,4869163
2016/3/18,700,723.5,698.5,716.5,691.515137,7164198
2016/3/21,712.5,715,700,702.5,678.003296,3786583
2016/3/22,699,700.5,684.158997,694.5,670.282288,4492571
2016/3/23,696,696.5,671,679,655.322754,4182957
2016/3/24,674,683,664.5,678.5,654.84021,3940959
2016/3/29,678,686,670,674.5,650.979614,2520678
2016/3/30,681.5,699.5,679.700012,690,665.939087,3715961
