Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,2403,2427,2320,2366,2144.752686,565006
2016/2/10,2380,2484,2368,2441,2212.739502,340038
2016/2/11,2403,2408,2322,2342,2122.99707,363514
2016/2/12,2368,2397,2354,2383,2160.16333,481926
2016/2/15,2424,2466,2423,2423,2196.422363,432159
2016/2/16,2436,2444,2380,2389,2165.602051,360702
2016/2/17,2393,2498,2374,2488,2255.344238,257076
2016/2/18,2496,2529,2473,2492,2258.970459,271244
2016/2/19,2487,2494,2421,2460,2229.962891,356040
2016/2/22,2465,2516,2459,2503,2268.941895,218841
2016/2/23,2525,2531,2483,2505,2270.754639,326460
2016/2/24,2492,2498,2463,2473,2241.74707,459857
2016/2/25,2517,2561,2497,2557,2317.89209,380506
2016/2/26,2581,2641,2581,2640,2393.130859,414925
2016/2/29,2597,2616,2568,2616,2371.374756,315579
2016/3/1,2603,2687,2600,2687,2435.73584,314164
2016/3/2,2685,2767,2685,2718,2463.836914,392474
2016/3/3,2781,2836,2700,2738,2481.966797,523997
2016/3/4,2712,2718,2620,2624,2378.626709,644066
2016/3/7,2626,2654,2551,2651,2403.102051,692668
2016/3/8,2635,2657,2611,2639,2392.224121,420076
2016/3/9,2642,2702,2624,2685,2433.922852,492154
2016/3/10,2692,2763,2674,2699,2446.613525,1114744
2016/3/11,2745,2748,2680,2698,2445.707031,418784
2016/3/14,2702,2720,2669,2703,2450.239258,267341
2016/3/15,2688,2721,2679,2709,2455.678223,261310
2016/3/16,2712,2727,2685,2707,2453.865234,534800
2016/3/17,2719,2739,2679,2716,2462.02417,328636
2016/3/18,2728,2774,2711,2750,2492.844727,329630
2016/3/21,2736,2756,2709,2725,2470.182129,271265
2016/3/22,2716,2726,2678,2726,2471.088867,349388
2016/3/23,2720,2741,2702,2715,2461.117432,402769
2016/3/24,2648,2662,2606,2659,2462.969727,432636
2016/3/29,2667,2684,2636.780029,2650,2454.633301,304134
2016/3/30,2677,2716,2674,2710,2510.210205,258754
2016/3/31,2697,2705,2683,2683,2485.200684,249870
2016/4/1,2652,2653,2595,2624,2430.550293,313673
2016/4/4,2620,2648,2612,2641,2446.296875,294370
2016/4/5,2621,2625,2562,2566,2376.826172,409405
2016/4/6,2580,2600,2571,2592,2400.909424,300433
2016/4/7,2597,2613,2517,2524,2337.922607,247023
2016/4/8,2510,2528,2489,2500,2315.691895,573715
2016/4/11,2512,2521,2486,2507,2322.175781,604211
2016/4/12,2511,2540,2483,2540,2352.74292,386930
2016/4/13,2551,2584,2542,2584,2393.499268,601065
2016/4/14,2595,2621,2585,2600,2408.31958,361587
2016/4/15,2603,2610,2587,2587,2396.277832,291702
2016/4/18,2568,2586.5,2555,2579,2388.86792,385702
2016/4/19,2582,2628,2574.530029,2624,2430.550293,439913
2016/4/20,2610,2617,2593,2613,2420.361328,242660
2016/4/21,2613,2620.090088,2585,2592,2400.909424,239262
2016/4/22,2578,2583,2560,2569,2379.605225,482422
2016/4/25,2568,2584,2550,2558,2369.415771,257980
2016/4/26,2563,2583,2556,2583,2392.572754,214680
2016/4/27,2595,2597,2567,2582,2391.646484,328544
2016/4/28,2561,2581,2539,2568,2378.678955,368589
2016/4/29,2549,2567,2504,2514,2328.659912,438915
2016/5/3,2518,2525.850098,2468,2474,2291.608887,347745
2016/5/4,2463,2477,2445,2453,2272.156982,287780
2016/5/5,2455,2489,2445,2446,2265.673096,265364
2016/5/6,2438,2457,2417,2444,2263.820557,416737
2016/5/9,2463,2480,2448,2459,2277.7146,294434
2016/5/10,2469,2484,2454,2464,2282.345947,381918
2016/5/11,2452,2485,2442,2475,2292.534912,379290
2016/5/12,2461,2497,2454,2465,2283.272217,348456
2016/5/13,2461,2499,2454,2493,2309.207764,356121
2016/5/16,2485,2503,2466,2503,2318.470947,222871
2016/5/17,2513,2531,2491,2505,2320.323242,329493
2016/5/18,2495,2539,2486,2536,2349.037598,295250
2016/5/19,2534,2547,2514,2520,2334.217529,377962
2016/5/20,2543,2589,2533,2575,2385.162842,329169
2016/5/23,2578,2594,2558,2581,2390.720215,487520
2016/5/24,2571,2679,2568,2679,2481.495361,341960
2016/5/25,2690,2732,2679,2716,2515.767578,339763
2016/5/26,2717,2719,2699,2718,2517.620361,200978
2016/5/27,2724,2736,2704,2736,2534.293457,197369
2016/5/31,2732,2745.050049,2703,2710,2510.210205,944869
2016/6/1,2702,2706,2638,2661,2464.82251,530514
2016/6/2,2668,2669,2648,2653,2457.412109,329397
2016/6/3,2665,2683,2640,2656,2460.190918,320571
2016/6/6,2665,2689,2655,2673,2475.937988,203569
2016/6/7,2676,2691,2654,2654,2458.338623,299036
2016/6/8,2652,2669,2638,2657,2461.117432,269526
2016/6/9,2651,2655,2630,2630,2436.10791,305067
2016/6/10,2634,2634,2537,2552,2363.858398,335459
2016/6/13,2531,2534,2477,2478,2295.313721,322896
2016/6/14,2459,2460,2403,2405,2227.695801,394831
2016/6/15,2415,2433,2403,2410,2232.327148,374411
2016/6/16,2383,2400,2366,2387,2211.022705,335187
2016/6/17,2403,2460,2393,2445,2264.746826,492129
2016/6/20,2519,2594,2482,2587,2396.277832,614858
2016/6/21,2569,2604.330078,2548,2598,2406.467041,314092
2016/6/22,2619,2666,2588,2639,2444.444336,281117
2016/6/23,2660,2712,2645,2711,2511.13623,364959
2016/6/24,2173,2440,1960,2382,2206.391113,1074696
2016/6/27,2340,2348,1995,2049,1897.94104,1026292
2016/6/28,2089,2182,2067,2151,1992.421387,790587
2016/6/29,2195,2254,2150,2254,2087.827881,526777
2016/6/30,2338,2449,2257,2356,2182.30835,825915
2016/7/1,2385,2428,2324,2422,2243.442383,574399
2016/7/4,2424,2441,2334,2349,2175.823975,432114
2016/7/5,2307,2324,2209,2230,2065.597168,669511
2016/7/6,2217,2231,2180,2201,2038.735352,647062
2016/7/7,2214,2359,2214,2318,2147.109375,624555
2016/7/8,2303,2418,2300,2393,2216.580322,483672
2016/7/11,2440,2505,2387,2501,2316.61792,395252
2016/7/12,2494,2575,2494,2575,2385.162842,583345
2016/7/13,2551,2576,2034.380005,2507,2322.175781,621689
2016/7/14,2525,2571,2503,2552,2363.858398,705365
2016/7/15,2500,2577,2483.399902,2550,2362.005615,443762
2016/7/18,2556,2579,2542,2565,2375.899902,462028
2016/7/19,2565,2590,2527,2568,2378.678955,259664
2016/7/20,2576,2598,2546,2586,2395.351563,351684
2016/7/21,2505,2605,2505,2578,2387.94165,328388
2016/7/22,2556,2599,2529,2581,2390.720215,249005
2016/7/25,2594,2631,2563,2605,2412.950928,305984
2016/7/26,2606,2615,2580,2586,2395.351563,282648
2016/7/27,2588,2672,2588,2640,2445.370605,439518
2016/7/28,2670,2670,2493,2531,2344.406494,664206
2016/7/29,2553,2627,2539,2618,2424.992432,453026
2016/8/1,2645,2675,2587,2610,2417.582275,398982
2016/8/2,2596,2660,2546,2584,2393.499268,323100
2016/8/3,2595,2606,2541,2580,2389.794189,372010
2016/8/4,2578,2632,2573,2613,2420.361328,325115
2016/8/5,2608,2671,2598,2668,2471.306152,301884
2016/8/8,2672,2738,2669,2708,2508.357422,273299
2016/8/9,2713,2731,2697,2727,2525.956787,278459
2016/8/10,2715,2727,2685,2719,2518.546631,388485
2016/8/11,2738,2743,2689,2743,2540.7771,257915
2016/8/12,2734,2791.100098,2733,2786,2580.607178,462875
2016/8/15,2790,2807,2761,2804,2597.280029,405188
2016/8/16,2793,2808,2776,2785,2579.680664,349701
2016/8/17,2739,2769,2739,2749,2546.334717,329992
2016/8/18,2735,2770,2723,2762,2585.65332,285605
2016/8/19,2740,2759,2709,2731,2556.632568,276572
2016/8/22,2719,2746,2706,2728,2553.824219,239346
2016/8/23,2744,2771,2722,2752,2576.291504,227255
2016/8/24,2739,2769,2723,2759,2582.844971,220960
2016/8/25,2740,2758,2719,2745,2569.738525,151590
2016/8/26,2732,2760,2723,2755,2579.100342,162565
2016/8/30,2763,2786,2752,2756,2580.036133,182998
2016/8/31,2748,2792,2747,2784,2606.248779,366180
2016/9/1,2791,2837,2791,2806,2626.843994,322401
2016/9/2,2829,2849,2786,2835,2653.992432,546835
2016/9/5,2849,2858,2816,2824,2643.694824,170988
2016/9/6,2831,2834,2782,2785,2607.184814,301625
2016/9/7,2796,2796,2746,2774,2596.886963,365821
2016/9/8,2767,2804,2754,2793,2614.673828,369787
2016/9/9,2769,2776.409912,2736,2744,2568.802246,339882
2016/9/12,2681,2685,2644,2683,2511.697266,361644
2016/9/13,2702,2736,2683,2695,2522.931152,317330
2016/9/14,2716,2723,2689,2705,2532.29248,254568
2016/9/15,2702,2721,2680,2720,2546.334961,230375
2016/9/16,2718,2736,2676,2679,2507.952637,576399
2016/9/19,2704,2725,2698,2720,2546.334961,195404
2016/9/20,2716,2738.409912,2707,2707,2534.164795,580428
2016/9/21,2738,2753,2712,2739,2564.121826,280187
2016/9/22,2762,2779,2746,2754,2578.164063,275910
2016/9/23,2750,2759,2738,2740,2565.057617,212639
2016/9/26,2730,2730,2673,2677,2506.080566,271110
2016/9/27,2695,2711,2633,2657,2487.357178,480619
2016/9/28,2655,2695,2655,2673,2502.335938,411719
2016/9/29,2684,2712,2677,2700,2527.611572,208534
2016/9/30,2673,2702,2621,2696,2523.866943,419959
2016/10/3,2691,2773,2691,2770,2593.142578,502569
2016/10/4,2787,2835,2786,2816,2636.205566,685725
2016/10/5,2791,2831,2791,2823,2642.758789,347236
2016/10/6,2840,2842,2799,2804,2624.97168,287555
2016/10/7,2821,2821,2764,2770,2593.142578,536913
2016/10/10,2784,2784,2747,2769,2592.206299,355689
2016/10/11,2781,2820,2775,2796,2617.482422,324809
2016/10/12,2790,2818,2784,2794,2615.610107,411444
2016/10/13,2779,2792.159912,2719,2734,2559.441162,280269
2016/10/14,2735,2781,2735,2769,2592.206299,311253
2016/10/17,2759,2775,2734,2743,2567.866211,322717
2016/10/18,2782,2823,2780,2817,2637.141602,395239
2016/10/19,2816,2835,2767,2805,2625.907715,308313
2016/10/20,2802,2830,2797,2808,2628.716064,745004
2016/10/21,2800,2821,2769,2806,2626.843994,261469
2016/10/24,2825,2864,2822,2845,2663.354004,368435
2016/10/25,2855,2877,2850,2857,2674.587646,288818
2016/10/26,2837,2864.300049,2813,2851,2668.970459,339607
2016/10/27,2840,2853,2816,2845,2663.354004,211579
2016/10/28,2829,2855,2809,2846,2664.290039,302277
2016/10/31,2822,2834,2807,2819,2639.01416,321675
2016/11/1,2811,2832,2792,2809,2629.652344,200327
2016/11/2,2786,2790,2754,2786,2608.12085,297689
2016/11/3,2764,2853.100098,2764,2801,2622.163086,372621
2016/11/4,2798,2808,2724,2771,2594.078613,423507
2016/11/7,2816,2831,2781,2817,2637.141602,311039
2016/11/8,2816,2852,2812,2846,2664.290039,353948
2016/11/9,2750,2861,2724,2859,2676.459961,399698
2016/11/10,2891,2986,2885,2903,2717.650635,627407
2016/11/11,2912,2929,2830,2860,2677.39624,484636
2016/11/14,2898,2917,2865,2884,2699.864014,268557
2016/11/15,2890,2915,2871,2906,2720.459229,327290
2016/11/16,2908,2922,2864,2868,2684.885498,334986
2016/11/17,2860,2872,2840,2869,2685.821533,372668
2016/11/18,2869,2879,2829,2872,2688.630127,236037
2016/11/21,2886,2886,2808,2818,2638.077637,304830
2016/11/22,2833,2881,2828,2864,2681.140869,281127
2016/11/23,2881,2884,2828,2850,2668.034668,236860
2016/11/24,2869,2869,2821.889893,2845,2663.354004,264260
2016/11/25,2859,2894,2841,2869,2685.821533,247385
2016/11/28,2868,2868,2802,2819,2639.01416,353171
2016/11/29,2819,2819,2767,2788,2609.993408,357876
2016/11/30,2801,2809,2753,2765,2588.46167,438366
2016/12/1,2754,2785,2740,2785,2607.184814,354973
2016/12/2,2759,2795,2712.419922,2789,2610.929443,184481
2016/12/5,2787,2809,2761,2791,2612.801758,183124
2016/12/6,2782,2805,2744,2800,2621.227051,340214
2016/12/7,2786,2888,2786,2888,2703.608643,496880
2016/12/8,2893,2963,2890,2923,2736.373779,315863
2016/12/9,2931,2944,2891,2936,2748.543945,306761
2016/12/12,2928,2946,2882,2890,2705.480713,366269
2016/12/13,2885,2941,2877,2938,2750.41626,267679
2016/12/14,2921,2945,2902,2936,2748.543945,251655
2016/12/15,2942,2979,2926,2977,2786.926025,411504
2016/12/16,2984,3001,2974,2985,2794.415039,463914
2016/12/19,2997,2997,2950,2965,2775.692139,216802
2016/12/20,2971,2995,2960,2992,2800.968506,267849
2016/12/21,2976,3004,2954,2966,2776.628418,270960
2016/12/22,2950,2971,2950,2968,2778.500488,152231
2016/12/23,2966,2990,2961,2985,2794.415039,70377
2016/12/28,2993,2993,2939,2983,2792.542969,137216
2016/12/29,2967,2992,2957,2981,2790.670654,139762
2016/12/30,2976,3001,2960,2998,2806.585449,126456
2017/1/3,3003,3051.580078,2994,3041,2846.839844,222134
2017/1/4,3041,3052,3010,3020,2827.18042,312560
2017/1/5,3015,3069,3015,3021,2828.116699,309209
2017/1/6,3008,3024,2994,3019,2826.244385,426337
2017/1/9,3014,3039,3002,3032,2838.414307,206741
2017/1/10,3030,3046,2999,3037,2843.095215,545080
2017/1/11,3035,3049,3022,3035,2841.223145,217600
2017/1/12,3034,3034,2990,3008,2815.946777,286811
2017/1/13,3017,3054,2996.75,3047,2852.457031,235861
2017/1/16,3031,3045,3021,3035,2841.223145,140600
2017/1/17,3033,3051,3025,3033,2839.350586,299906
2017/1/18,3048,3073,3002,3020,2827.18042,210624
2017/1/19,3013,3036,2978,2982,2791.606934,346208
2017/1/20,2997,3017,2974,2987,2796.287598,407128
2017/1/23,2971,2989,2943,2981,2790.670654,292383
2017/1/24,2995,3020,2979,2989,2798.159668,290695
2017/1/25,2995,3026,2991,3006,2814.074463,221811
2017/1/26,2963,2989,2937,2947,2758.841553,359684
2017/1/27,2939,2973.419922,2911,2923,2736.373779,317638
2017/1/30,2899,2912,2887,2901,2715.778564,457156
2017/1/31,2909,2956,2903,2934,2746.671631,461612
