Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,912.5,917.5,885.5,898.5,838.905823,966329
2016/2/10,910,923,892.5,914.5,853.844604,1058240
2016/2/11,906.5,906.5,864,880,821.632813,1621694
2016/2/12,890,917,874.414978,916,855.244995,2381681
2016/2/15,931.5,949.5,928.5,944,881.388,843072
2016/2/16,946,953.5,934.5,945.5,882.788452,1318139
2016/2/17,950.5,986,947,982.5,917.334412,1197790
2016/2/18,990.5,990.5,973.5,980,915.000244,771238
2016/2/19,982.5,986,962.5,973,908.464539,898132
2016/2/22,986,989.5,978,985,919.66864,589760
2016/2/23,976,987.5,970,973,908.464539,778617
2016/2/24,973,973,944.5,949,886.056335,1080539
2016/2/25,954.5,981.5,954.5,973,908.464539,964695
2016/2/26,976,1004,976,999.5,933.206787,1317902
2016/2/29,991,1008,989.5,1002,935.541016,1186907
2016/3/1,1002,1015,1001,1005,938.34198,1391929
2016/3/2,1010,1013,991,998,931.806335,1005816
2016/3/3,998,1029,997,1029,960.750183,1703952
2016/3/4,1037,1061,1032,1060,989.694092,1729617
2016/3/7,1058,1066,1040,1047,977.556274,1167278
2016/3/8,1038,1059,1032,1040,971.02063,1095571
2016/3/9,1046,1063,1041.73999,1043,973.821655,1588531
2016/3/10,1045,1065,1027,1027,958.882874,1295356
2016/3/11,1043,1064,1039.449951,1057,986.893127,1068374
2016/3/14,1059,1088,1059,1079,1007.43396,1088489
2016/3/15,1078,1078,1062,1077,1005.566467,1165551
2016/3/16,1062,1091.060059,1024,1050,980.3573,4205578
2016/3/17,1058,1076,1052,1076,1004.632874,1815442
2016/3/18,1080,1122,1078,1106,1032.643066,10213616
2016/3/21,1110,1127,1097,1121,1046.648193,1932396
2016/3/22,1114,1123,1089,1112,1038.245239,1500397
2016/3/23,1112,1117,1084.5,1094,1021.438965,1589860
2016/3/24,1078,1081,1060,1066,1007.498474,1178690
2016/3/29,1074,1080.25,1058,1068,1009.388794,1338698
2016/3/30,1074,1096,1072,1087,1027.346069,960474
2016/3/31,1084,1084,1070,1076,1016.949585,1356376
2016/4/1,1067,1072,1052.199951,1062,1003.718018,1033628
2016/4/4,1063,1073,1057,1066,1007.498474,677608
2016/4/5,1060,1061,1042,1051,993.321716,889390
2016/4/6,1047,1060,1046,1060,1001.82782,1246824
2016/4/7,1062,1074,1053.099976,1056,998.047302,753616
2016/4/8,1056,1088,1056,1082,1022.620483,967142
2016/4/11,1082,1105,1078,1104,1043.413086,1607413
2016/4/12,1104,1104,1090.630005,1099,1038.687378,968317
2016/4/13,1108,1119.099976,1106,1113,1051.919067,736632
2016/4/14,1118,1118,1099,1107,1046.248413,693520
2016/4/15,1109,1109,1092,1093,1033.016724,1016645
2016/4/18,1088,1094,1075,1091,1031.126465,581695
