Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,2.22012,2.22012,2.22012,2.22012,2.206191,0
2016/2/10,2.23882,2.23882,2.23882,2.23882,2.224774,0
2016/2/11,2.249,2.249,2.195,2.206,2.19216,1589022
2016/2/12,2.24969,2.24969,2.24969,2.24969,2.235576,0
2016/2/15,2.27668,2.27668,2.27668,2.27668,2.262396,0
2016/2/16,2.33273,2.33273,2.33273,2.33273,2.318095,0
2016/2/17,2.34,2.389,2.33853,2.389,2.374012,1516587
2016/2/18,2.38831,2.38831,2.38831,2.38831,2.373326,0
2016/2/19,2.40758,2.40758,2.40758,2.40758,2.392475,0
2016/2/22,2.48168,2.48168,2.48168,2.48168,2.46611,0
2016/2/23,2.4347,2.4347,2.4347,2.4347,2.419425,0
2016/2/24,2.47,2.483,2.396,2.398,2.382955,1715108
2016/2/25,2.46766,2.46766,2.46766,2.46766,2.452178,0
2016/2/26,2.51657,2.51657,2.51657,2.51657,2.500782,0
2016/2/29,2.5003,2.5003,2.5003,2.5003,2.484613,0
2016/3/1,2.57471,2.57471,2.57471,2.57471,2.558556,0
2016/3/2,2.55648,2.55648,2.55648,2.55648,2.540441,0
2016/3/3,2.55298,2.55298,2.55298,2.55298,2.536963,0
2016/3/4,2.57271,2.57271,2.57271,2.57271,2.556569,0
2016/3/7,2.532,2.554,2.501,2.52,2.50419,1474694
2016/3/8,2.53446,2.53446,2.53446,2.53446,2.518559,0
2016/3/9,2.55101,2.55101,2.55101,2.55101,2.535005,0
2016/3/10,2.457,2.484,2.41,2.41,2.39488,1577015
2016/3/11,2.57014,2.57014,2.57014,2.57014,2.554015,0
2016/3/14,2.58677,2.58677,2.58677,2.58677,2.570541,0
2016/3/15,2.60218,2.60218,2.60218,2.60218,2.585854,0
2016/3/16,2.61121,2.61121,2.61121,2.61121,2.594828,0
2016/3/17,2.55773,2.55773,2.55773,2.55773,2.541683,0
2016/3/18,2.57291,2.57291,2.57291,2.57291,2.556768,0
2016/3/21,2.60695,2.60695,2.60695,2.60695,2.590594,0
2016/3/22,2.64651,2.64651,2.64651,2.64651,2.629906,0
2016/3/23,2.64242,2.64242,2.64242,2.64242,2.625842,0
2016/3/24,2.536,2.55,2.51944,2.545,2.529033,2392684
2016/3/29,2.62252,2.62252,2.62252,2.62252,2.606066,0
2016/3/30,2.63228,2.63228,2.63228,2.63228,2.615765,0
2016/3/31,2.635,2.635,2.635,2.635,2.618468,0
