Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,2783,2801,2725,2775,2642.328613,181034
2016/2/10,2781,2820,2754,2763,2630.902344,143615
2016/2/11,2767,2767,2664,2725,2594.719238,168637
2016/2/12,2736,2824,2736,2812,2677.55957,190735
2016/2/15,2877,2924,2845,2915,2775.635254,237603
2016/2/16,2955,2955,2894,2929,2788.966064,109281
2016/2/17,2952,3015,2866.98999,3008,2864.188965,95665
2016/2/18,3013,3081,3012,3060,2913.702637,142208
2016/2/19,3099,3099,3005,3038,2892.754395,117484
2016/2/22,3056,3099,3056,3082,2934.651123,76901
2016/2/23,3076,3161,3058,3072,2925.129395,81290
2016/2/24,3086,3107,3026,3050,2904.180908,165112
2016/2/25,3096,3099,3034,3056,2909.894043,102994
2016/2/26,3103,3116,3060,3108,2959.408203,73097
2016/2/29,3082,3153,3064,3145,2994.63916,98784
2016/3/1,3158,3227,3146,3227,3072.71875,170569
2016/3/2,3239,3263,3195,3240,3085.096924,193383
2016/3/3,3305,3339,3245,3322,3163.177002,199280
2016/3/4,3294,3468,3294,3452,3286.961426,185679
2016/3/7,3459,3497,3412,3456,3290.770264,193889
2016/3/8,3421,3463,3403,3455,3289.818115,120796
2016/3/9,3455,3479,3447,3448,3283.152832,102624
2016/3/10,3450,3517,3400,3400,3237.447754,178354
2016/3/11,3436,3470,3413,3446,3281.248291,134818
2016/3/14,3467,3512,3458,3463,3297.435547,103234
2016/3/15,3463,3540,3436.169922,3439,3274.583008,101266
2016/3/16,3464,3476,3433,3466,3300.292236,129495
2016/3/17,3501,3501,3451,3482,3315.5271,145790
2016/3/18,3482,3533,3461,3500,3332.666992,223902
2016/3/21,3487,3532,3466,3491,3324.097168,80334
2016/3/22,3481,3546,3465,3546,3376.467285,81018
2016/3/23,3556,3590,3533,3562,3391.702393,104671
2016/3/24,3562,3564,3508,3530,3361.232178,97686
2016/3/29,3530,3553,3512,3553,3383.132813,84955
2016/3/30,3579,3675,3579,3651,3476.44751,137609
2016/3/31,3635,3650,3605.47998,3640,3465.973389,92961
2016/4/1,3560,3589,3526,3562,3391.702393,159628
2016/4/4,3571,3597,3549,3591,3419.316406,188028
2016/4/5,3570,3579,3540,3550,3380.276123,306876
2016/4/6,3551,3581,3517,3567,3396.463379,212905
2016/4/7,3554,3595,3547,3549,3379.323975,142273
2016/4/8,3550,3593,3541,3575,3404.081055,92449
2016/4/11,3573,3591,3546,3557,3386.941406,70278
2016/4/12,3573,3594,3539,3586,3414.554932,87572
2016/4/13,3611,3657,3590.199951,3630,3456.45166,100864
2016/4/14,3645,3648,3582,3602,3429.790283,99078
2016/4/15,3610,3610,3567,3603,3430.742432,120842
2016/4/18,3543,3596,3520,3550,3380.276123,187393
2016/4/19,3540,3571,3505,3559,3388.845947,229581
2016/4/20,3560,3579,3509,3557,3386.941406,128677
2016/4/21,3543,3572,3505,3540,3370.754395,103154
2016/4/22,3502,3554,3502,3543,3373.610596,109739
2016/4/25,3515,3578.209961,3515,3530,3361.232178,120210
2016/4/26,3552,3583,3506,3515,3346.949707,83957
2016/4/27,3518,3522,3473,3505,3337.427734,120363
2016/4/28,3449,3454,3399,3424,3305.760498,141981
2016/4/29,3385,3445,3329.399902,3415,3297.071289,117856
2016/5/3,3416,3501,3365,3389,3271.968994,106709
2016/5/4,3356,3407,3356,3375,3258.452393,88263
2016/5/5,3381,3415,3359,3386,3269.072754,81885
2016/5/6,3372,3456,3369,3441,3322.173096,118880
2016/5/9,3445,3489,3431,3443,3324.104492,120416
2016/5/10,3441,3494,3410,3456,3336.655273,118248
2016/5/11,3464,3514,3464,3487,3366.584717,118638
2016/5/12,3509,3509,3402,3428,3309.62207,289503
2016/5/13,3414,3435,3386,3431,3312.518799,567991
2016/5/16,3425,3468,3409,3459,3339.552002,100659
2016/5/17,3487,3487,3437,3452,3332.793213,127704
2016/5/18,3444,3476,3429,3457,3337.62085,126307
2016/5/19,3444,3476,3398,3399,3281.623779,73887
2016/5/20,3406,3460,3406,3443,3324.104492,76265
2016/5/23,3436,3486,3436,3467,3347.275635,91942
2016/5/24,3475,3486,3451,3473,3353.068359,76693
2016/5/25,3493,3493,3468,3478,3357.895752,78558
2016/5/26,3489,3519,3452,3465,3345.344727,80706
2016/5/27,3465,3488,3441,3445,3326.035156,83744
2016/5/31,3434,3472,3434,3450,3330.862549,135247
2016/6/1,3453,3473,3440,3457,3337.62085,81634
2016/6/2,3464,3483,3450,3477,3356.93042,107521
2016/6/3,3497,3498,3444,3459,3339.552002,61133
2016/6/6,3447,3522,3439,3518,3396.514648,67394
2016/6/7,3534,3541,3488,3507,3385.894287,91487
2016/6/8,3501,3515,3474,3505,3383.963379,59858
2016/6/9,3484,3491,3457,3470,3350.171875,62943
2016/6/10,3470,3470,3371,3404,3286.451172,86001
2016/6/13,3383,3385,3336,3355,3239.143311,89249
2016/6/14,3339,3355,3290,3341,3225.626709,108404
2016/6/15,3380,3412,3349,3386,3269.072754,157076
2016/6/16,3365,3380,3289,3289,3175.422363,215422
2016/6/17,3331,3390,3305,3383,3266.17627,207184
2016/6/20,3446,3504,3409,3491,3370.446777,145007
2016/6/21,3482,3482,3450,3450,3330.862549,102816
2016/6/22,3457,3506,3436,3471,3351.137695,75301
2016/6/23,3503,3559,3476,3535,3412.927246,73789
2016/6/24,3250,3620,3250,3460,3340.517334,221789
2016/6/27,3419,3461,3372,3433,3314.449463,307295
2016/6/28,3535,3567,3447,3532,3410.031006,169167
2016/6/29,3583,3645,3536.300049,3645,3519.128418,166252
2016/6/30,3665,3751,3652,3740,3610.848145,163434
2016/7/1,3748,3840,3687,3775,3644.639648,155370
2016/7/4,3809,3809,3692.350098,3745,3615.675293,94177
2016/7/5,3774,3804,3682,3690,3562.574707,177833
2016/7/6,3687,3735,3676,3734,3605.055176,100764
2016/7/7,3767,3792,3686,3748,3618.571777,114369
2016/7/8,3732,3817,3732,3809,3677.465576,95867
2016/7/11,3720,3893,3720,3884,3749.875488,119060
2016/7/12,3895,3941,3860.030029,3885,3750.841064,129208
2016/7/13,3889,3949,3869,3907,3772.081543,129943
2016/7/14,3943,3948,3876,3891,3756.633789,134327
2016/7/15,3891,3905,3841,3880,3746.013672,148331
2016/7/18,3880,3915,3852,3852,3718.980713,123911
2016/7/19,3854,3878,3816,3869,3735.393311,216391
2016/7/20,3868,3900,3849,3866,3732.49707,192485
2016/7/21,3856,3904,3810,3864,3730.566162,213244
2016/7/22,3876,3935,3833,3881,3746.979248,123457
2016/7/25,3895,3929,3836,3929,3793.321533,151812
2016/7/26,3933,3963,3913,3958,3821.320068,84254
2016/7/27,3951,4036,3951,4012,3873.455322,147318
2016/7/28,3985,4049,3982,3989,3851.249756,122859
2016/7/29,3983,3988,3914,3983,3845.457031,181278
2016/8/1,4016,4016,3949,3965,3828.078125,107731
2016/8/2,3944,3964,3903,3949,3812.630615,127608
2016/8/3,3953,3978,3928.100098,3970,3832.905762,180451
2016/8/4,3959,4029,3938,4015,3876.351807,135373
2016/8/5,4037,4059,4020,4059,3918.832275,202261
2016/8/8,4071,4102.299805,4054,4102,3960.347656,193807
2016/8/9,4195,4403,4131,4348,4197.852539,203362
2016/8/10,4354,4435,4354,4415,4262.538574,192636
2016/8/11,4438,4486,4384,4486,4331.086914,206795
2016/8/12,4460,4479,4427,4444,4290.537598,160599
2016/8/15,4460,4475,4419,4442,4288.606445,191368
2016/8/16,4412,4452,4396,4409,4256.745117,259783
2016/8/17,4404,4424,4362,4370,4219.092773,201831
2016/8/18,4300,4399,4293,4389,4237.436523,359546
2016/8/19,4376,4400,4358,4386,4234.540039,172293
2016/8/22,4387,4405,4355,4381,4229.712402,183462
2016/8/23,4405,4469,4376,4441,4287.640625,244772
