Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,1370,1377,1346.640015,1347,1103.515259,4181990
2016/2/10,1362,1362,1340,1350,1105.973022,2785036
2016/2/11,1342,1346,1317,1321,1082.215088,2760947
2016/2/12,1336,1350.300049,1331,1346,1102.696167,3235516
2016/2/15,1358,1373,1354,1367,1119.900146,1884418
2016/2/16,1374,1377,1351,1358,1112.526978,2456054
2016/2/17,1364,1376,1354,1376,1127.273315,3356960
2016/2/18,1379,1400,1376,1390,1138.742676,2653227
2016/2/19,1390,1394,1383,1394,1142.019531,2170107
2016/2/22,1406,1420.040039,1399,1420,1163.319824,1107451
2016/2/23,1407,1413,1383,1383,1133.007935,2429574
2016/2/24,1385,1385,1357,1362,1115.803955,1957222
2016/2/25,1376,1385,1374,1381,1131.369507,2250148
2016/2/26,1396,1402,1382,1389,1137.923462,2129823
2016/2/29,1379,1386,1371.530029,1385,1134.646484,2252421
2016/3/1,1385,1397,1374,1395,1142.838745,5013221
2016/3/2,1398,1404,1378,1391,1139.561768,2195656
2016/3/3,1397,1443,1393,1430,1171.512085,6458145
2016/3/4,1436,1438,1428,1433,1173.969971,5705611
2016/3/7,1428,1432,1420,1430,1171.512085,3156842
2016/3/8,1419,1461.089966,1416,1435,1175.608276,3776342
2016/3/9,1445,1469.689941,1440,1468,1202.643311,4372460
2016/3/10,1465,1490,1442,1445,1183.800781,3978071
2016/3/11,1462,1465.5,1455,1462,1197.727783,2660500
2016/3/14,1479,1479,1459,1470,1204.28186,2185407
2016/3/15,1465,1492.900024,1457,1464,1199.366333,3075182
2016/3/16,1470,1477,1458,1461,1196.908569,3967565
2016/3/17,1473,1487,1465,1474,1207.558716,2759356
2016/3/18,1479,1485,1465,1470,1204.28186,4359428
2016/3/21,1469,1472.910034,1458,1468,1202.643311,1699070
2016/3/22,1465,1465.839966,1450,1458,1194.450928,2717815
2016/3/23,1457,1464.52002,1449,1460,1196.089478,1558326
2016/3/24,1451,1465.579956,1450,1460,1196.089478,2976544
2016/3/29,1474,1479,1458.050049,1479,1211.654907,3557589
2016/3/30,1489,1510,1489,1508,1235.412842,4710548
2016/3/31,1507,1507,1486,1492,1222.305054,2784498
2016/4/1,1471,1485,1462,1485,1216.570435,2785705
2016/4/4,1488,1499,1482.73999,1491,1221.48584,1965779
2016/4/5,1501,1501,1472,1486,1217.389526,2108311
2016/4/6,1492,1500,1484,1499,1228.039673,2104135
2016/4/7,1505,1506,1492,1499,1228.039673,3156994
