Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,1090,1105.439941,1048.219971,1083,823.363159,2171412
2016/2/10,1055,1068.680054,1027,1052,843.406067,1552147
2016/2/11,1044,1047,1009,1009,808.93219,1130147
2016/2/12,1012,1025,997.5,1008,808.130493,1228682
2016/2/15,1025,1036.209961,1014,1027,823.36322,846237
2016/2/16,1031,1035,1018.52002,1028,824.164917,1025399
2016/2/17,1031,1061,1025,1059,849.018066,810164
2016/2/18,1059,1065.949951,1041,1052,843.406067,750000
2016/2/19,1055,1064.01001,1046.939941,1060,849.819824,1456923
2016/2/22,1068,1084,1066.540039,1073,860.242126,525531
2016/2/23,1063,1074.699951,1063,1064,853.026672,586359
2016/2/24,1061,1068,1035,1040,833.785461,584563
2016/2/25,1047,1073,1046,1073,860.242126,587061
2016/2/26,1085,1091,1074,1078,864.250793,416931
2016/2/29,1072,1078,1065,1072,859.44043,1039968
2016/3/1,1075,1091.130005,1069,1084,869.060974,590810
2016/3/2,1083,1088.380005,1055,1060,849.819824,688723
2016/3/3,1057,1059,1022,1026,822.561401,813655
2016/3/4,1023,1045.630005,1023,1043,836.190613,792709
2016/3/7,1037,1041,1024.329956,1030,825.768311,876634
2016/3/8,1022,1029,1015.320007,1026,822.561401,489168
2016/3/9,1032,1035,1016,1019,816.949402,605488
2016/3/10,1020,1038,1013.840027,1016,814.544312,846878
2016/3/11,1026,1047.26001,1023,1035,829.776917,636417
2016/3/14,1035,1045.219971,1034,1045,837.794067,730478
2016/3/15,1045,1049,1029.48999,1046,838.595703,687676
2016/3/16,1035,1035,977.5,989.5,793.298767,1543720
2016/3/17,995,1006.690002,978,992,795.30304,1320590
2016/3/18,988,1032.5,978,1025,821.759766,2340628
2016/3/21,1022,1040,999.5,1003,804.121948,708667
2016/3/22,989,993,956.5,975,781.673889,1641173
2016/3/23,969.5,1000,965.5,987.5,791.695374,1265191
2016/3/24,984.5,998.61499,977.5,988.5,792.497009,613104
2016/3/29,987,1001.859985,979,994.5,797.307373,911926
2016/3/30,1000,1028,999,1028,824.164917,1039393
2016/3/31,1034,1103,1034,1079,865.052429,2726200
2016/4/1,1072,1090,1064,1081,866.655884,1292149
