Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,3753.5,3779,3703.5,3736.5,3253.339844,3713071
2016/2/10,3782.5,3798,3671,3692.5,3215.029297,3309139
2016/2/11,3661.5,3705,3609,3681,3205.016602,3964817
2016/2/12,3700.5,3720,3668,3708.5,3228.960205,3382513
2016/2/15,3778,3805.5,3744.5,3775,3286.861084,1826508
2016/2/16,3789.5,3856,3787.5,3844,3346.939209,2204719
2016/2/17,3859,3890,3845.5,3890,3386.991211,2698311
2016/2/18,3890.5,3898,3802,3849.5,3351.728027,3938688
2016/2/19,3861.5,3861.5,3812,3830,3334.749756,2321477
2016/2/22,3872,3881.5,3852.5,3863.5,3363.917236,1878059
2016/2/23,3807,3852,3807,3843,3346.068359,2825489
2016/2/24,3853.5,3854,3814.5,3834,3338.232178,2383350
2016/2/25,3800,3888.5,3776.5,3877.5,3376.107178,3011363
2016/2/26,3919,3954,3901,3915,3408.758057,2710402
2016/2/29,3918,3934.5,3884,3925.5,3417.900391,2675630
2016/3/1,3936.5,4005.5,3915,4000,3482.76709,2628150
2016/3/2,4013.5,4013.5,3951,3968.5,3455.340088,3596122
2016/3/3,3966,3976.5,3940,3958,3446.197754,2050470
2016/3/4,3962.5,4044.5,3961.5,4044.5,3521.512695,3048947
2016/3/7,4070.5,4090.5,4003,4008.5,3490.167969,2134798
2016/3/8,3982.5,4021,3958.5,4012.5,3493.650391,2197071
2016/3/9,4021,4045,3993.5,4045,3521.94873,2881286
2016/3/10,4059,4073.5,3984.5,3984.5,3469.27124,6193424
2016/3/11,4034,4084,4027.5,4076.5,3549.375,2659240
2016/3/14,4076,4105.5,4060.5,4101,3570.707031,2166283
2016/3/15,4090.5,4133.5,4071,4128,3594.215576,2215117
2016/3/16,4147,4149,4109.5,4117,3584.638184,2380834
2016/3/17,4033.5,4042,3976.5,4042,3611.082031,2410097
2016/3/18,4040,4055.5,3977,3977,3553.011963,3515095
2016/3/21,3962,3997.5,3950,3976,3552.118652,1815976
2016/3/22,3962,3999.5,3940,3983,3558.372314,2620804
2016/3/23,3984,4048,3981.840088,4044,3612.868652,2858574
2016/3/24,4030.5,4033,3989,3995.5,3569.539551,5023014
2016/3/29,4018.5,4029.5,3975.5,3995.5,3569.539551,3489957
2016/3/30,4020,4075,4000,4075,3640.563965,5167594
2016/3/31,4075.5,4099.5,4057,4090,3653.965332,3502299
2016/4/1,4040,4091.5,4016,4083.5,3648.157959,2623168
2016/4/4,4081,4127.5,4033.530029,4098,3661.112061,2033308
2016/4/5,4088,4130,4078,4118,3678.97998,3139015
2016/4/6,4132.5,4134.25,4090.5,4124.5,3684.786865,2126907
2016/4/7,4132,4155,4103,4148.5,3706.228271,2379354
2016/4/8,4173.5,4195.379883,4158.5,4190,3743.303955,2434955
2016/4/11,4199,4200.5,4159,4193.5,3746.430908,2631709
2016/4/12,4182.5,4182.5,4135.5,4167.5,3723.202637,2083346
2016/4/13,4187,4295.709961,4168.5,4186.5,3740.17749,2285901
2016/4/14,4145,4215.25,4134.240234,4210,3761.172119,2532494
2016/4/15,4213.5,4324.430176,4207.5,4232,3780.82666,3018173
2016/4/18,4207,4281.140137,4206.5,4280.5,3824.155762,2250189
2016/4/19,4281,4307,4271.5,4281,3824.602295,2502782
2016/4/20,4280.5,4357.129883,4235.25,4264.5,3809.861572,3780653
2016/4/21,4265.5,4270,4135.5,4175,3729.903076,4270195
2016/4/22,4161.5,4176,4117.5,4133,3692.380859,2597370
2016/4/25,4118.5,4207.5,4118.5,4162.5,3718.735596,3178205
2016/4/26,4250,4346.919922,4134.5,4144.5,3702.654541,2661151
2016/4/27,4151.5,4163.5,4098.5,4162,3718.288818,2226474
2016/4/28,4143,4186,4100.5,4186,3739.730469,2645687
2016/4/29,4159.5,4210.5,4132,4170,3725.436279,2656366
2016/5/3,4200.5,4200.5,4098,4156,3712.928711,2850717
2016/5/4,4146.5,4233.600098,4107.5,4141.5,3699.974365,2825049
2016/5/5,4162,4194.5,4139,4191,3744.197266,2003003
2016/5/6,4184,4199,4147.5,4199,3751.344727,1909949
2016/5/9,4218.5,4250,4194,4213.5,3764.298584,1619931
2016/5/10,4237,4258.799805,4203.5,4241.5,3789.313477,1757842
2016/5/11,4233,4257.5,4221.5,4245,3792.440674,1444208
2016/5/12,4225,4254,4192.5,4210.5,3761.618896,1984129
2016/5/13,4207,4224.5,4172.5,4224.5,3774.125977,1936012
2016/5/16,4194,4237.5,4168.5,4235,3783.506836,1377562
2016/5/17,4245.5,4250,4170,4189,3742.4104,2303182
2016/5/18,4175,4181.5,4149,4165.5,3721.416016,2139393
2016/5/19,4140,4149,4077.5,4086,3650.391357,2531259
2016/5/20,4117,4154.5,4112,4147,3704.888184,2490472
2016/5/23,4144.5,4153.5,4102,4116,3677.193115,1903767
2016/5/24,4115,4174.5,4102.5,4170.5,3725.882813,2239685
2016/5/25,4186.5,4199.5,4164.5,4182,3736.157227,1857382
2016/5/26,4188.5,4192.5,4169.5,4185,3738.836914,1539126
2016/5/27,4181.5,4206,4167,4205.5,3757.151367,1304125
2016/5/31,4228.5,4244,4198,4198,3750.451172,4925328
2016/6/1,4194.5,4217.5,4150.5,4167,3722.756348,2196721
2016/6/2,4161,4179.27002,4139.149902,4142.5,3700.867676,2107049
2016/6/3,4156,4215,4156,4206,3757.5979,2067745
2016/6/6,4216,4296,4216,4271.5,3816.115967,2189625
2016/6/7,4275,4292.5,4265.5,4279.5,3823.262451,2266071
2016/6/8,4264.5,4284.5,4254.5,4276.5,3820.582031,1816401
2016/6/9,4274,4287,4253.5,4272.5,3817.008545,2142625
2016/6/10,4259,4271.129883,4173.5,4218.5,3768.765625,2580237
2016/6/13,4188,4264.5,4147.5,4147.5,3705.334961,1865079
2016/6/14,4140.5,4172,4072,4072,3637.883789,3088790
2016/6/15,4094.5,4141.5,4081.389893,4100,3662.898438,2360616
2016/6/16,4081.5,4155,4075,4145.5,3703.547607,2527589
2016/6/17,4160.5,4161.5,4105.5,4116.5,3677.639648,3891857
2016/6/20,4185,4260.5,4120,4235,3783.506836,3269468
2016/6/21,4222,4271.5,4202.5,4247.5,3794.674072,2674910
2016/6/22,4251.5,4290.5,4210.5,4254.5,3800.927734,2907255
2016/6/23,4287.5,4347.5,4214,4275.5,3819.688965,3409816
2016/6/24,4343,4476.5,4155,4385,3917.514893,8348398
2016/6/27,4334.5,4486.5,4332,4455,3980.052246,4902486
2016/6/28,4553,4574.5,4512,4555.5,4069.837646,5702433
2016/6/29,4592.5,4800,4583.5,4694,4193.572266,4136454
2016/6/30,4693.5,4843,4666.5,4843,4326.687988,4825590
2016/7/1,4853.5,4965.5,4829,4879,4358.849609,3406610
2016/7/4,4902.5,4948,4893,4904.5,4381.631348,1943203
2016/7/5,4920,5044,4915,5035,4498.218262,4246453
2016/7/6,5040,5135,4890.5,4900,4377.610352,4891194
