Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,1274,1285,1250,1277,1193.181885,472637
2016/2/10,1276,1305,1274,1305,1219.343994,517497
2016/2/11,1300,1300,1273,1281,1196.919312,382991
2016/2/12,1284,1303,1271,1303,1217.475342,406517
2016/2/15,1323,1337,1316,1336,1248.309448,305339
2016/2/16,1340,1348,1328,1344,1255.784302,265744
2016/2/17,1341,1386,1341,1386,1295.027588,311907
2016/2/18,1382,1401,1373,1374,1283.815063,439547
2016/2/19,1460,1460,1400,1413,1320.255371,969063
2016/2/22,1461,1480,1457,1469,1372.57959,351007
2016/2/23,1467,1480,1455,1458,1362.301758,449462
2016/2/24,1458,1461,1381,1385,1294.093262,624856
2016/2/25,1397,1429,1397,1409,1316.517944,502235
2016/2/26,1429,1429,1364,1367,1277.274536,610225
2016/2/29,1360,1375,1324,1375,1284.749512,1173463
2016/3/1,1366,1394,1355,1390,1298.765015,461560
2016/3/2,1388,1396,1352,1366,1276.340332,408748
2016/3/3,1359,1378,1348,1373,1282.880859,285386
2016/3/4,1384,1395,1372,1386,1295.027588,408686
2016/3/7,1385,1408,1378,1401,1309.043091,324608
2016/3/8,1389,1400,1376,1390,1298.765015,267173
2016/3/9,1402,1407,1389,1396,1304.371094,270055
2016/3/10,1400,1407,1376,1376,1285.683838,322971
2016/3/11,1392,1407,1387,1396,1304.371094,284359
2016/3/14,1395,1413,1395,1408,1315.583618,234449
2016/3/15,1409,1437,1395,1433,1338.942627,279018
2016/3/16,1436,1441,1411,1434,1339.876953,432775
2016/3/17,1438,1446,1414,1430,1336.139648,267384
2016/3/18,1433,1456,1424,1454,1358.564209,584623
2016/3/21,1444,1449,1429,1442,1347.351807,230775
2016/3/22,1434,1446,1418,1444,1349.220581,298394
2016/3/23,1446,1463,1446,1459,1363.236084,253469
2016/3/24,1451,1454,1432,1432,1338.008179,316051
2016/3/29,1441,1446,1432,1439,1344.548706,312490
2016/3/30,1450,1507,1450,1505,1406.216797,467057
2016/3/31,1496,1510,1478,1480,1382.857788,644866
2016/4/1,1468,1470,1438,1452,1356.695557,564662
2016/4/4,1453,1474,1453,1459,1363.236084,315283
2016/4/5,1453,1454,1438,1440,1345.483154,411124
2016/4/6,1447,1454,1439,1447,1352.02356,482714
2016/4/7,1451,1459,1437,1440,1345.483154,225737
2016/4/8,1444,1447,1436,1441,1346.41748,270532
2016/4/11,1438,1443,1429,1438,1343.614502,225574
2016/4/12,1440,1440,1415,1423,1329.598999,374221
2016/4/13,1433,1457,1430,1453,1357.629883,257443
2016/4/14,1456,1468,1448,1460,1364.17041,238521
