Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,3000,3082,2917,3034,2761.918701,1398922
2016/2/10,3085,3161,3044,3118,2838.385742,861894
2016/2/11,3086,3098,2998,3044,2771.021729,1151694
2016/2/12,3091,3109,3034,3106,2827.461914,666052
2016/2/15,3171,3176.600098,3125,3149,2866.605713,606871
2016/2/16,3164,3224,3124,3194,2907.570068,741750
2016/2/17,3214,3326,3208,3301,3004.975098,862772
2016/2/18,3305,3305,3236,3275,3000.825439,541688
2016/2/19,3250,3313,3247,3313,3035.644043,612638
2016/2/22,3356,3468,3355,3417,3130.937744,792411
2016/2/23,3404,3528,3397,3458,3168.505615,1264867
2016/2/24,3478,3505,3413,3425,3138.268555,1089784
2016/2/25,3477,3550,3459,3539,3242.724365,736577
2016/2/26,3579,3582,3523.27002,3546,3249.138184,523662
2016/2/29,3512,3584,3502,3578,3278.459717,1192313
2016/3/1,3562,3621,3534,3599,3297.701172,910587
2016/3/2,3639,3639,3526,3532,3236.310059,751232
2016/3/3,3536,3560,3397,3417,3130.937744,1360247
2016/3/4,3450,3523.370117,3439,3460,3170.337646,619410
2016/3/7,3460,3461,3415,3420,3133.686768,479159
2016/3/8,3387,3401,3356,3379,3096.119141,628929
2016/3/9,3391,3398,3347,3354,3073.211914,614036
2016/3/10,3363,3415,3327,3327,3048.471924,601802
2016/3/11,3363,3410.129883,3359,3410,3124.523926,656851
2016/3/14,3410,3491,3406.909912,3477,3185.914795,507433
2016/3/15,3463,3506,3449.090088,3489,3196.910156,338654
2016/3/16,3511,3549,3484,3532,3236.310059,321142
2016/3/17,3538,3538,3448,3464,3174.002686,589734
2016/3/18,3472,3515,3451,3497,3204.240234,1021134
2016/3/21,3495,3534,3482,3512,3217.984375,357858
2016/3/22,3470,3493,3392,3456,3166.672119,914947
2016/3/23,3448,3550,3448,3522,3227.147461,687258
2016/3/24,3506,3547,3494,3517,3222.565674,593389
2016/3/29,3523,3555,3486,3550,3252.803223,519527
2016/3/30,3559,3728,3534,3692,3382.915527,1219137
2016/3/31,3703,3765,3697,3752,3437.89209,952738
2016/4/1,3735,3796,3700,3791,3473.627441,712150
2016/4/4,3781,3802,3737.01001,3782,3465.380371,448235
2016/4/5,3751,3788.590088,3711,3730,3417.734131,618639
2016/4/6,3743,3800,3721,3779,3462.63208,673101
2016/4/7,3786,3814,3752,3759,3444.306152,421700
2016/4/8,3764,3785,3750,3764,3448.887939,536108
2016/4/11,3748,3770,3707,3711,3400.324951,366208
2016/4/12,3707,3733,3680,3726,3414.068848,510043
2016/4/13,3753,3767.370117,3724,3749,3435.143555,490053
