Date,Open,High,Low,Close,Adj Close,Volume
2016/2/9,192.600006,194.5,187.899994,187.899994,150.1698,14219159
2016/2/10,188.100006,191.399994,185.800003,187.800003,150.089874,13246481
2016/2/11,186.399994,186.600006,182.5,183.600006,146.733231,19174472
2016/2/12,184.600006,189.600006,184.5,189.600006,151.528442,17912839
2016/2/15,190,193.009995,189.600006,192.399994,153.766205,13066531
2016/2/16,193.699997,194.300003,190.5,191.699997,153.206741,11836318
2016/2/17,192.800003,194.100006,189.800003,194.100006,155.124847,19569836
2016/2/18,202.600006,208.309998,197.5,207.399994,165.754211,31940961
2016/2/19,209.800003,211.600006,207,211.5,169.030945,23416412
2016/2/22,213.600006,216.300003,210.742996,216.199997,172.787186,16492573
2016/2/23,212.5,214.5,209.399994,210.399994,168.15181,13114566
2016/2/24,209.199997,209.399994,203.199997,204.5,163.436508,16400356
2016/2/25,206.100006,209.800003,206,208.899994,166.953003,11202543
2016/2/26,210.800003,214.399994,209.5,211.199997,168.791168,13195121
2016/2/29,208.5,209.699997,205.100006,208,166.233734,16036254
2016/3/1,207.399994,212.199997,206.399994,212.199997,169.590363,13658766
2016/3/2,209.600006,214.039001,208.5,210.5,168.23172,13753528
2016/3/3,213,220.199997,213,220,175.824127,24731805
2016/3/4,221.699997,227.300003,220.699997,224.199997,179.180756,25067331
2016/3/7,223,226.5,221.899994,225.600006,180.299667,15240342
2016/3/8,223.699997,226.600006,222.899994,225,179.820129,15718542
2016/3/9,227,229.399994,225,227,181.418549,19826842
2016/3/10,225.800003,232.106995,225.800003,225.800003,180.459518,26802369
2016/3/11,228.600006,229.800003,226.899994,229.800003,183.656281,14062714
2016/3/14,229.300003,230.110992,226.399994,227.5,181.818146,15578351
2016/3/15,226.5,226.899994,222.199997,222.800003,178.061905,16522581
2016/3/16,223.899994,226.300003,219.231995,224.800003,179.660294,17575688
2016/3/17,226.5,230.300003,224.800003,227.300003,181.658295,16239291
2016/3/18,226.199997,229.600006,226,226.199997,180.779175,18066473
2016/3/21,225.5,226.800003,224.600006,226.800003,181.258682,9355535
2016/3/22,226.399994,226.667007,223.199997,226,180.619339,20453024
2016/3/23,225.800003,227.300003,225.005997,226.699997,181.178772,13081527
2016/3/24,225.199997,225.899994,223.606995,224.100006,179.100861,9305827
2016/3/29,226.5,227.300003,223.699997,226.899994,181.338623,16719562
2016/3/30,228.699997,231.800003,228.699997,230.5,184.215744,14048790
2016/3/31,230.600006,230.600006,226.699997,227.699997,181.977982,17476790
2016/4/1,226.100006,228.067001,222.300003,224.899994,179.740204,18370494
2016/4/4,224.800003,228.964005,224.300003,226.699997,181.178772,8021823
2016/4/5,225.899994,226.039001,222.815002,223.600006,178.701263,14788972
2016/4/6,224.5,227,223.264008,226.600006,181.098862,13092249
2016/4/7,226.899994,227.899994,225.5,227.100006,181.498459,13036576
2016/4/8,227.800003,233.699997,226.699997,232.300003,185.654297,17439681
2016/4/11,232.199997,235.800003,231.585007,233.699997,186.773163,10771800
2016/4/12,233.699997,235.326004,232.100006,235.100006,187.892059,8945214
2016/4/13,236.800003,239.699997,236.100006,237.5,189.81015,12433223
2016/4/14,237.100006,238.600006,235.699997,236.800003,189.250702,11058139
2016/4/15,238.899994,240.199997,235.399994,238.300003,190.449493,20509157
2016/4/18,236,238.878998,231.399994,234.600006,187.492462,13987479
2016/4/19,234.699997,237.800003,233.800003,237.300003,189.650314,13708700
2016/4/20,236.399994,237,234.800003,236.100006,188.691269,8553178
2016/4/21,235.600006,236.899994,232,234.100006,187.09288,10036051
2016/4/22,232.600006,233.800003,230.5,232.199997,185.574371,11354397
2016/4/25,232.600006,232.800003,230.199997,232.300003,185.654297,10287335
2016/4/26,233.5,235,230.699997,232.199997,185.574371,13802474
2016/4/27,232.100006,240.399994,231.149994,240.100006,191.888077,21869021
2016/4/28,239,239.899994,236,238.899994,190.929001,11136525
2016/4/29,237.399994,239.100006,235.5,238.399994,190.529419,11161087
2016/5/3,237.300003,238.100006,230.199997,232.399994,185.734207,14849095
2016/5/4,232.199997,233.600006,229.600006,231.100006,184.695282,10729186
2016/5/5,218,219.100006,201.600006,208.5,166.633331,75450696
2016/5/6,208.300003,210.460007,205,209.899994,167.752197,45390725
2016/5/9,209.5,212.100006,207.858002,210,167.832123,21849264
2016/5/10,211.699997,213.199997,210.100006,213.100006,170.309662,21831487
2016/5/11,213.5,214.300003,210,210,167.832123,30785523
2016/5/12,205,211.529999,201.699997,202.300003,168.439926,21877306
2016/5/13,202,210.529999,200.899994,202.399994,168.523209,17027408
2016/5/16,202.100006,202.699997,199.139999,201.5,167.773834,15013325
2016/5/17,202.300003,204.399994,201.600006,203,169.022766,16661138
2016/5/18,202.199997,202.899994,200.300003,201.699997,167.940353,15362044
2016/5/19,200.199997,202.199997,198.5,198.699997,165.442505,15260606
2016/5/20,200.800003,210.789993,199.800003,201.5,167.773834,13557162
2016/5/23,201.699997,203.487,200.399994,203,169.022766,28335532
2016/5/24,201.5,203.5,201.240005,203.100006,169.106049,12574483
2016/5/25,205.199997,206.699997,204.399994,205.800003,171.354141,17663068
2016/5/26,206.300003,206.970001,204.257004,206.399994,171.853683,12435687
2016/5/27,206.199997,206.274994,203.964005,205.300003,170.937805,11412089
2016/5/31,207.100006,207.100006,202.800003,203.800003,169.688889,23849473
2016/6/1,202.800003,203.100006,201.100006,202,168.19014,17109596
2016/6/2,202.600006,202.899994,200.899994,200.899994,167.274261,31242064
2016/6/3,201.199997,203.069,200.5,202.100006,168.273438,17191672
2016/6/6,202.699997,205.5,201.800003,204,169.855392,14038549
2016/6/7,204,206,201.819,206,171.520645,18605287
2016/6/8,205,211.964005,204.899994,211.199997,175.850296,19918189
2016/6/9,210.800003,211.699997,207.199997,207.899994,173.102631,16940550
2016/6/10,207.800003,207.800003,202.069,202.899994,168.939499,18035313
2016/6/13,201,203.600006,200.272995,201.899994,168.106873,15786649
2016/6/14,204.100006,204.699997,198.100006,198.300003,165.109451,26739212
2016/6/15,199.600006,203.990005,198.712997,201.600006,167.857117,17234215
2016/6/16,199.300003,202.600006,198.964005,201.199997,167.524063,14092377
2016/6/17,202.5,204.800003,201.699997,203.600006,169.522369,42418508
